id,name,business_id,created_at,externalReference,cost,type
26,Free coffee,7,2025-07-12 19:43:51.000,c67cfad0,150,FREE_PRODUCT
27,20% off any purchase,7,2025-07-12 19:43:51.000,cb18d96e,800,DISCOUNT
28,Birthday bonus,7,2025-07-12 19:43:51.000,608d3d85,0,OTHER
29,Free dessert,7,2025-07-12 19:43:51.000,5e7c4b3b,500,FREE_PRODUCT
30,Free coffee,8,2025-07-12 19:43:51.000,4b45dc35,150,FREE_PRODUCT
31,Birthday bonus,8,2025-07-12 19:43:51.000,c16f50d8,0,OTHER
32,Buy 9 get 1 free,9,2025-07-12 19:43:51.000,28b7070b,0,FREE_PRODUCT
33,Complimentary upgrade,9,2025-07-12 19:43:51.000,7b916bd2,0,OTHER
34,Free product,9,2025-07-12 19:43:51.000,d555a8d9,0,FREE_PRODUCT
35,15% discount,9,2025-07-12 19:43:51.000,44040a74,0,DISCOUNT
36,Free coffee,10,2025-07-12 19:43:51.000,4d29083b,150,FREE_PRODUCT
37,20% off any purchase,10,2025-07-12 19:43:51.000,fd5f1646,800,DISCOUNT
38,10% off next visit,11,2025-07-12 19:43:51.000,665abe8b,300,DISCOUNT
39,Free dessert,11,2025-07-12 19:43:51.000,4393cb6b,500,FREE_PRODUCT
40,Free coffee,11,2025-07-12 19:43:51.000,e5d794d1,150,FREE_PRODUCT
41,20% off any purchase,11,2025-07-12 19:43:51.000,26ec3387,800,DISCOUNT
42,Complimentary upgrade,12,2025-07-12 19:43:51.000,e0af522d,0,OTHER
43,Buy 9 get 1 free,12,2025-07-12 19:43:51.000,2e632fe2,0,FREE_PRODUCT
44,Free product,12,2025-07-12 19:43:51.000,34074412,0,FREE_PRODUCT
45,Member discount 5%,13,2025-07-12 19:43:51.000,8f6322f7,0,DISCOUNT
46,Exclusive member offer,13,2025-07-12 19:43:51.000,d23478aa,0,OTHER
47,Free dessert,14,2025-07-12 19:43:51.000,e44edc5d,500,FREE_PRODUCT
48,Birthday bonus,14,2025-07-12 19:43:51.000,201b7684,0,OTHER
49,10% off next visit,14,2025-07-12 19:43:51.000,6ee61c7f,300,DISCOUNT
50,Buy 9 get 1 free,15,2025-07-12 19:43:51.000,caf999cd,0,FREE_PRODUCT
51,Free product,15,2025-07-12 19:43:51.000,ca625a8d,0,FREE_PRODUCT
52,Complimentary upgrade,15,2025-07-12 19:43:51.000,64de64d7,0,OTHER
53,15% discount,15,2025-07-12 19:43:51.000,c77cd119,0,DISCOUNT
54,Free product,16,2025-07-12 19:43:51.000,7ea95599,0,FREE_PRODUCT
55,Buy 9 get 1 free,16,2025-07-12 19:43:51.000,ccbc0cbe,0,FREE_PRODUCT
56,Complimentary upgrade,16,2025-07-12 19:43:51.000,39b4f60b,0,OTHER
57,Buy 9 get 1 free,17,2025-07-12 19:43:51.000,3c59e0fa,0,FREE_PRODUCT
58,Complimentary upgrade,17,2025-07-12 19:43:51.000,4165d0f2,0,OTHER
59,15% discount,17,2025-07-12 19:43:51.000,4562b3e7,0,DISCOUNT
60,Complimentary upgrade,18,2025-07-12 19:43:51.000,e9f462f9,0,OTHER
61,Free product,18,2025-07-12 19:43:51.000,08115c60,0,FREE_PRODUCT
62,15% discount,18,2025-07-12 19:43:51.000,a164c106,0,DISCOUNT
63,Buy 9 get 1 free,18,2025-07-12 19:43:51.000,238d1699,0,FREE_PRODUCT
64,Exclusive member offer,19,2025-07-12 19:43:51.000,18a030cf,0,OTHER
65,Member discount 5%,19,2025-07-12 19:43:51.000,133d40d9,0,DISCOUNT
66,20% off any purchase,20,2025-07-12 19:43:51.000,49bb5f6f,800,DISCOUNT
67,Free dessert,20,2025-07-12 19:43:51.000,8f0fb61d,500,FREE_PRODUCT
68,Birthday bonus,20,2025-07-12 19:43:51.000,46f691a2,0,OTHER
69,Free dessert,21,2025-07-12 19:43:51.000,df7219ce,500,FREE_PRODUCT
70,Free coffee,21,2025-07-12 19:43:51.000,e4cf45f7,150,FREE_PRODUCT
71,Free dessert,22,2025-07-12 19:43:51.000,59806fe9,500,FREE_PRODUCT
72,Free coffee,22,2025-07-12 19:43:51.000,11a34ed0,150,FREE_PRODUCT
73,Birthday bonus,22,2025-07-12 19:43:51.000,f3b0094b,0,OTHER
74,20% off any purchase,22,2025-07-12 19:43:51.000,7f068202,800,DISCOUNT
75,15% discount,23,2025-07-12 19:43:51.000,172301a9,0,DISCOUNT
76,Complimentary upgrade,23,2025-07-12 19:43:51.000,27ccb39f,0,OTHER
77,Free dessert,24,2025-07-12 19:43:51.000,c6dfab9a,500,FREE_PRODUCT
78,Birthday bonus,24,2025-07-12 19:43:51.000,4be7e072,0,OTHER
79,10% off next visit,24,2025-07-12 19:43:51.000,57b88ed2,300,DISCOUNT
80,Free coffee,24,2025-07-12 19:43:51.000,aa1be0a5,150,FREE_PRODUCT
81,20% off any purchase,24,2025-07-12 19:43:51.000,e00a2f76,800,DISCOUNT
82,Birthday bonus,25,2025-07-12 19:43:51.000,bfc8c240,0,OTHER
83,Free coffee,25,2025-07-12 19:43:51.000,a277a6f3,150,FREE_PRODUCT
84,10% off next visit,25,2025-07-12 19:43:51.000,956bf046,300,DISCOUNT
85,20% off any purchase,25,2025-07-12 19:43:51.000,79d452bf,800,DISCOUNT
86,20% off any purchase,26,2025-07-12 19:43:51.000,09d3e006,800,DISCOUNT
87,Free dessert,26,2025-07-12 19:43:51.000,a8d73eb7,500,FREE_PRODUCT
88,Birthday bonus,26,2025-07-12 19:43:51.000,c1da8d44,0,OTHER
89,Free coffee,26,2025-07-12 19:43:51.000,6f796fc9,150,FREE_PRODUCT
90,10% off next visit,26,2025-07-12 19:43:51.000,a64c2f94,300,DISCOUNT
91,Buy 9 get 1 free,27,2025-07-12 19:43:51.000,b1031789,0,FREE_PRODUCT
92,15% discount,27,2025-07-12 19:43:51.000,765d1658,0,DISCOUNT
93,Free product,27,2025-07-12 19:43:51.000,7a8dd1cb,0,FREE_PRODUCT
94,Complimentary upgrade,27,2025-07-12 19:43:51.000,d41253aa,0,OTHER
95,Free dessert,28,2025-07-12 19:43:51.000,5ddd5be6,500,FREE_PRODUCT
96,20% off any purchase,28,2025-07-12 19:43:51.000,56f055f5,800,DISCOUNT
97,Birthday bonus,28,2025-07-12 19:43:51.000,8a52c272,0,OTHER
98,15% discount,29,2025-07-12 19:43:51.000,fc1336ff,0,DISCOUNT
99,Complimentary upgrade,29,2025-07-12 19:43:51.000,e45614b4,0,OTHER
100,Free coffee,30,2025-07-12 19:43:51.000,4d5038e1,150,FREE_PRODUCT
101,10% off next visit,30,2025-07-12 19:43:51.000,3f660220,300,DISCOUNT
102,Free dessert,30,2025-07-12 19:43:51.000,350e731e,500,FREE_PRODUCT
103,20% off any purchase,30,2025-07-12 19:43:51.000,446cccaa,800,DISCOUNT
104,Birthday bonus,30,2025-07-12 19:43:51.000,e8ca3b95,0,OTHER
105,Free product,31,2025-07-12 19:43:51.000,15167eee,0,FREE_PRODUCT
106,15% discount,31,2025-07-12 19:43:51.000,dd06edfb,0,DISCOUNT
107,15% discount,32,2025-07-12 19:43:51.000,af5b9a8e,0,DISCOUNT
108,Buy 9 get 1 free,32,2025-07-12 19:43:51.000,d403b3a7,0,FREE_PRODUCT
109,Free product,32,2025-07-12 19:43:51.000,fa8e6bdb,0,FREE_PRODUCT
110,Complimentary upgrade,32,2025-07-12 19:43:51.000,06360e58,0,OTHER
111,10% off next visit,33,2025-07-12 19:43:51.000,90b1ee32,300,DISCOUNT
112,Free dessert,33,2025-07-12 19:43:51.000,3582ce29,500,FREE_PRODUCT
113,20% off any purchase,33,2025-07-12 19:43:51.000,1376b0ff,800,DISCOUNT
114,Free coffee,33,2025-07-12 19:43:51.000,40bb1fc0,150,FREE_PRODUCT
115,Birthday bonus,33,2025-07-12 19:43:51.000,dc8790c8,0,OTHER
116,Complimentary upgrade,34,2025-07-12 19:43:51.000,b5c9180e,0,OTHER
117,15% discount,34,2025-07-12 19:43:51.000,3294a4e2,0,DISCOUNT
118,Buy 9 get 1 free,34,2025-07-12 19:43:51.000,b7ad1cc3,0,FREE_PRODUCT
119,10% off next visit,35,2025-07-12 19:43:51.000,05b11482,300,DISCOUNT
120,Free coffee,35,2025-07-12 19:43:51.000,d17b45f3,150,FREE_PRODUCT
121,20% off any purchase,35,2025-07-12 19:43:51.000,9d3f42a9,800,DISCOUNT
122,Birthday bonus,35,2025-07-12 19:43:51.000,9d64743a,0,OTHER
123,Free dessert,35,2025-07-12 19:43:51.000,94b1d3d0,500,FREE_PRODUCT
124,20% off any purchase,36,2025-07-12 19:43:51.000,aa986436,800,DISCOUNT
125,Birthday bonus,36,2025-07-12 19:43:51.000,620b3588,0,OTHER
126,Free dessert,36,2025-07-12 19:43:51.000,544e5ccc,500,FREE_PRODUCT
127,Exclusive member offer,37,2025-07-12 19:43:51.000,2c5f1e52,0,OTHER
128,Member discount 5%,37,2025-07-12 19:43:51.000,47c9822a,0,DISCOUNT
129,Complimentary upgrade,38,2025-07-12 19:43:51.000,50c48b45,0,OTHER
130,15% discount,38,2025-07-12 19:43:51.000,c2e37e83,0,DISCOUNT
131,Buy 9 get 1 free,38,2025-07-12 19:43:51.000,7e7dc142,0,FREE_PRODUCT
132,Buy 9 get 1 free,39,2025-07-12 19:43:51.000,fd08d6ed,0,FREE_PRODUCT
133,Free product,39,2025-07-12 19:43:51.000,8c5c1b82,0,FREE_PRODUCT
134,Complimentary upgrade,39,2025-07-12 19:43:51.000,4b59ac7e,0,OTHER
135,15% discount,39,2025-07-12 19:43:51.000,a223883b,0,DISCOUNT
136,Free product,40,2025-07-12 19:43:51.000,1db06ae6,0,FREE_PRODUCT
137,Buy 9 get 1 free,40,2025-07-12 19:43:51.000,89eb8ab6,0,FREE_PRODUCT
138,Free product,41,2025-07-12 19:43:51.000,a22c8dab,0,FREE_PRODUCT
139,15% discount,41,2025-07-12 19:43:51.000,6c5a3d9e,0,DISCOUNT
140,Buy 9 get 1 free,41,2025-07-12 19:43:51.000,1c38820e,0,FREE_PRODUCT
141,Exclusive member offer,42,2025-07-12 19:43:51.000,ec4b407f,0,OTHER
142,Member discount 5%,42,2025-07-12 19:43:51.000,240e762d,0,DISCOUNT
143,10% off next visit,43,2025-07-12 19:43:51.000,cd3cfc3f,300,DISCOUNT
144,Free coffee,43,2025-07-12 19:43:51.000,cf191ad7,150,FREE_PRODUCT
145,20% off any purchase,43,2025-07-12 19:43:51.000,bc42c740,800,DISCOUNT
146,Free product,44,2025-07-12 19:43:51.000,f97696d1,0,FREE_PRODUCT
147,15% discount,44,2025-07-12 19:43:51.000,6ad83857,0,DISCOUNT
148,Complimentary upgrade,44,2025-07-12 19:43:51.000,c5ebaa93,0,OTHER
149,Buy 9 get 1 free,44,2025-07-12 19:43:51.000,ec9cbecb,0,FREE_PRODUCT
150,Complimentary upgrade,45,2025-07-12 19:43:51.000,be6a2e8b,0,OTHER
151,Free product,45,2025-07-12 19:43:51.000,d0525a0c,0,FREE_PRODUCT
152,15% discount,45,2025-07-12 19:43:51.000,7b4e9d7b,0,DISCOUNT
153,Buy 9 get 1 free,45,2025-07-12 19:43:51.000,8316b8c0,0,FREE_PRODUCT
154,20% off any purchase,46,2025-07-12 19:43:51.000,23078eeb,800,DISCOUNT
155,Birthday bonus,46,2025-07-12 19:43:51.000,0e08e9df,0,OTHER
156,10% off next visit,46,2025-07-12 19:43:51.000,80327cd6,300,DISCOUNT
157,Free dessert,46,2025-07-12 19:43:51.000,fe00efb7,500,FREE_PRODUCT
158,Free coffee,46,2025-07-12 19:43:51.000,8ffbd8ba,150,FREE_PRODUCT
159,Buy 9 get 1 free,47,2025-07-12 19:43:51.000,72c2d2b3,0,FREE_PRODUCT
160,Free product,47,2025-07-12 19:43:51.000,c74d4ab9,0,FREE_PRODUCT
161,Birthday bonus,48,2025-07-12 19:43:51.000,a8b591e5,0,OTHER
162,Free dessert,48,2025-07-12 19:43:51.000,d811304f,500,FREE_PRODUCT
163,20% off any purchase,48,2025-07-12 19:43:51.000,2659fca5,800,DISCOUNT
164,Free coffee,48,2025-07-12 19:43:51.000,00a248f3,150,FREE_PRODUCT
165,10% off next visit,49,2025-07-12 19:43:51.000,8821088e,300,DISCOUNT
166,Free dessert,49,2025-07-12 19:43:51.000,88e192c3,500,FREE_PRODUCT
167,Complimentary upgrade,50,2025-07-12 19:43:51.000,d7f13120,0,OTHER
168,15% discount,50,2025-07-12 19:43:51.000,61e254f5,0,DISCOUNT
169,Free product,50,2025-07-12 19:43:51.000,2b4eff1e,0,FREE_PRODUCT
170,Buy 9 get 1 free,50,2025-07-12 19:43:51.000,cec26e4a,0,FREE_PRODUCT
171,Buy 9 get 1 free,51,2025-07-12 19:43:51.000,39e91b84,0,FREE_PRODUCT
172,15% discount,51,2025-07-12 19:43:51.000,3efe0bd3,0,DISCOUNT
173,Free product,52,2025-07-12 19:43:51.000,0ce75823,0,FREE_PRODUCT
174,Complimentary upgrade,52,2025-07-12 19:43:51.000,93991737,0,OTHER
175,10% off next visit,53,2025-07-12 19:43:51.000,3d08a5e1,300,DISCOUNT
176,Free dessert,53,2025-07-12 19:43:51.000,61036f00,500,FREE_PRODUCT
177,Free coffee,53,2025-07-12 19:43:51.000,de4356f4,150,FREE_PRODUCT
178,Birthday bonus,53,2025-07-12 19:43:51.000,e61a8cd7,0,OTHER
179,20% off any purchase,53,2025-07-12 19:43:51.000,2ec750b7,800,DISCOUNT
180,10% off next visit,54,2025-07-12 19:43:51.000,cd290b01,300,DISCOUNT
181,Free coffee,54,2025-07-12 19:43:51.000,9b247e4e,150,FREE_PRODUCT
182,20% off any purchase,54,2025-07-12 19:43:51.000,560cb0e2,800,DISCOUNT
183,Birthday bonus,54,2025-07-12 19:43:51.000,2261cfdb,0,OTHER
184,Free dessert,54,2025-07-12 19:43:51.000,fb8ce664,500,FREE_PRODUCT
185,Free dessert,55,2025-07-12 19:43:51.000,477baf5b,500,FREE_PRODUCT
186,Free coffee,55,2025-07-12 19:43:51.000,4bc11273,150,FREE_PRODUCT
187,Birthday bonus,55,2025-07-12 19:43:51.000,c74a43bc,0,OTHER
188,10% off next visit,55,2025-07-12 19:43:51.000,49df9b92,300,DISCOUNT
189,20% off any purchase,55,2025-07-12 19:43:51.000,91083f59,800,DISCOUNT
190,Free coffee,56,2025-07-12 19:43:51.000,3cc97643,150,FREE_PRODUCT
191,Free dessert,56,2025-07-12 19:43:51.000,6d280568,500,FREE_PRODUCT
192,10% off next visit,56,2025-07-12 19:43:51.000,30aaad75,300,DISCOUNT
193,Free dessert,57,2025-07-12 19:43:51.000,caec67ae,500,FREE_PRODUCT
194,Birthday bonus,57,2025-07-12 19:43:51.000,6d86193a,0,OTHER
195,Free coffee,57,2025-07-12 19:43:51.000,51968d52,150,FREE_PRODUCT
196,20% off any purchase,57,2025-07-12 19:43:51.000,3c76eedd,800,DISCOUNT
197,10% off next visit,57,2025-07-12 19:43:51.000,a3ebdbaf,300,DISCOUNT
198,10% off next visit,58,2025-07-12 19:43:51.000,ec500900,300,DISCOUNT
199,Birthday bonus,58,2025-07-12 19:43:51.000,1a43f5a0,0,OTHER
200,Free coffee,58,2025-07-12 19:43:51.000,03419399,150,FREE_PRODUCT
201,Buy 9 get 1 free,59,2025-07-12 19:43:51.000,8a28abb7,0,FREE_PRODUCT
202,Complimentary upgrade,59,2025-07-12 19:43:51.000,31225dd1,0,OTHER
203,15% discount,59,2025-07-12 19:43:51.000,0f567b9b,0,DISCOUNT
204,Free dessert,60,2025-07-12 19:43:51.000,df3c5d21,500,FREE_PRODUCT
205,20% off any purchase,60,2025-07-12 19:43:51.000,af6a9f18,800,DISCOUNT
206,10% off next visit,60,2025-07-12 19:43:51.000,3ffcf552,300,DISCOUNT
207,10% off next visit,61,2025-07-12 19:43:51.000,9020a051,300,DISCOUNT
208,Birthday bonus,61,2025-07-12 19:43:51.000,b7385f6b,0,OTHER
209,20% off any purchase,61,2025-07-12 19:43:51.000,3042e12d,800,DISCOUNT
210,Free dessert,61,2025-07-12 19:43:51.000,fb1d5164,500,FREE_PRODUCT
211,10% off next visit,62,2025-07-12 19:43:51.000,26b37629,300,DISCOUNT
212,Free dessert,62,2025-07-12 19:43:51.000,d9da8a15,500,FREE_PRODUCT
213,Birthday bonus,62,2025-07-12 19:43:51.000,dc4115e4,0,OTHER
214,20% off any purchase,62,2025-07-12 19:43:51.000,7c81ad11,800,DISCOUNT
215,Free coffee,62,2025-07-12 19:43:51.000,554c0623,150,FREE_PRODUCT
216,Buy 9 get 1 free,63,2025-07-12 19:43:51.000,51da7a5c,0,FREE_PRODUCT
217,Complimentary upgrade,63,2025-07-12 19:43:51.000,8a6bd7a3,0,OTHER
218,15% discount,63,2025-07-12 19:43:51.000,fc4cb727,0,DISCOUNT
219,Free product,63,2025-07-12 19:43:51.000,127806e1,0,FREE_PRODUCT
220,Complimentary upgrade,64,2025-07-12 19:43:51.000,6ddf44eb,0,OTHER
221,Free product,64,2025-07-12 19:43:51.000,62a66f14,0,FREE_PRODUCT
222,15% discount,64,2025-07-12 19:43:51.000,00bff116,0,DISCOUNT
223,Member discount 5%,65,2025-07-12 19:43:51.000,ec17cfde,0,DISCOUNT
224,Exclusive member offer,65,2025-07-12 19:43:51.000,112a76a1,0,OTHER
225,Birthday bonus,66,2025-07-12 19:43:51.000,efcaa65f,0,OTHER
226,10% off next visit,66,2025-07-12 19:43:51.000,9f04e9ee,300,DISCOUNT
227,Free coffee,66,2025-07-12 19:43:51.000,ed9fc62c,150,FREE_PRODUCT
228,20% off any purchase,66,2025-07-12 19:43:51.000,ac7d7411,800,DISCOUNT
229,Free dessert,66,2025-07-12 19:43:51.000,558e4837,500,FREE_PRODUCT
230,Free dessert,67,2025-07-12 19:43:51.000,2f11fdbf,500,FREE_PRODUCT
231,20% off any purchase,67,2025-07-12 19:43:51.000,62eb9475,800,DISCOUNT
232,Birthday bonus,67,2025-07-12 19:43:51.000,a70089ce,0,OTHER
233,Free dessert,68,2025-07-12 19:43:51.000,0ba5667e,500,FREE_PRODUCT
234,10% off next visit,68,2025-07-12 19:43:51.000,f72ccf63,300,DISCOUNT
235,Birthday bonus,68,2025-07-12 19:43:51.000,b0d0810d,0,OTHER
236,20% off any purchase,68,2025-07-12 19:43:51.000,33d9f05c,800,DISCOUNT
237,Free coffee,68,2025-07-12 19:43:51.000,a6d8b865,150,FREE_PRODUCT
238,Birthday bonus,69,2025-07-12 19:43:51.000,622a1192,0,OTHER
239,20% off any purchase,69,2025-07-12 19:43:51.000,9390a326,800,DISCOUNT
240,Free dessert,69,2025-07-12 19:43:51.000,efbb2779,500,FREE_PRODUCT
241,10% off next visit,69,2025-07-12 19:43:51.000,b3b421a6,300,DISCOUNT
242,Birthday bonus,70,2025-07-12 19:43:51.000,b59e6d15,0,OTHER
243,20% off any purchase,70,2025-07-12 19:43:51.000,5c407a0a,800,DISCOUNT
244,Free dessert,70,2025-07-12 19:43:51.000,e96683a8,500,FREE_PRODUCT
245,Free coffee,70,2025-07-12 19:43:51.000,2487b099,150,FREE_PRODUCT
246,10% off next visit,70,2025-07-12 19:43:51.000,383a2e89,300,DISCOUNT
247,Free product,71,2025-07-12 19:43:51.000,20c04e96,0,FREE_PRODUCT
248,Complimentary upgrade,71,2025-07-12 19:43:51.000,68ee33ea,0,OTHER
249,Exclusive member offer,72,2025-07-12 19:43:51.000,4672a4a0,0,OTHER
250,Member discount 5%,72,2025-07-12 19:43:51.000,bf3c75c3,0,DISCOUNT
251,Free product,73,2025-07-12 19:43:51.000,b4af510e,0,FREE_PRODUCT
252,Complimentary upgrade,73,2025-07-12 19:43:51.000,1f2370e0,0,OTHER
253,15% discount,73,2025-07-12 19:43:51.000,c0613a8f,0,DISCOUNT
254,Buy 9 get 1 free,73,2025-07-12 19:43:51.000,fdd560e6,0,FREE_PRODUCT
255,Free dessert,74,2025-07-12 19:43:51.000,b7cdf5ff,500,FREE_PRODUCT
256,20% off any purchase,74,2025-07-12 19:43:51.000,921e1eaf,800,DISCOUNT
257,Free coffee,74,2025-07-12 19:43:51.000,49f6cf8c,150,FREE_PRODUCT
258,Birthday bonus,74,2025-07-12 19:43:51.000,91f2e2ac,0,OTHER
259,Free product,75,2025-07-12 19:43:51.000,2943f0f8,0,FREE_PRODUCT
260,15% discount,75,2025-07-12 19:43:51.000,61db9046,0,DISCOUNT
261,Buy 9 get 1 free,75,2025-07-12 19:43:51.000,ce8b1d79,0,FREE_PRODUCT
262,Complimentary upgrade,75,2025-07-12 19:43:51.000,cd250067,0,OTHER
263,Member discount 5%,76,2025-07-12 19:43:51.000,8de3e4b9,0,DISCOUNT
264,Exclusive member offer,76,2025-07-12 19:43:51.000,5384882d,0,OTHER
265,Birthday bonus,77,2025-07-12 19:43:51.000,fdb2b96a,0,OTHER
266,Free coffee,77,2025-07-12 19:43:51.000,e4995d55,150,FREE_PRODUCT
267,10% off next visit,77,2025-07-12 19:43:51.000,7c742bf6,300,DISCOUNT
268,20% off any purchase,77,2025-07-12 19:43:51.000,68fc42df,800,DISCOUNT
269,Buy 9 get 1 free,78,2025-07-12 19:43:51.000,846bd24b,0,FREE_PRODUCT
270,15% discount,78,2025-07-12 19:43:51.000,d103c575,0,DISCOUNT
271,Buy 9 get 1 free,79,2025-07-12 19:43:51.000,93e47f01,0,FREE_PRODUCT
272,Free product,79,2025-07-12 19:43:51.000,37aaed23,0,FREE_PRODUCT
273,10% off next visit,80,2025-07-12 19:43:51.000,81bec5a3,300,DISCOUNT
274,20% off any purchase,80,2025-07-12 19:43:51.000,1fde0594,800,DISCOUNT
275,Free dessert,80,2025-07-12 19:43:51.000,00fe4606,500,FREE_PRODUCT
276,Birthday bonus,80,2025-07-12 19:43:51.000,d050d3d9,0,OTHER
277,20% off any purchase,81,2025-07-12 19:43:51.000,c505c7f8,800,DISCOUNT
278,Free dessert,81,2025-07-12 19:43:51.000,3c979ed1,500,FREE_PRODUCT
279,Free coffee,81,2025-07-12 19:43:51.000,0d8f3ff0,150,FREE_PRODUCT
280,Birthday bonus,81,2025-07-12 19:43:51.000,7e40843f,0,OTHER
281,Exclusive member offer,82,2025-07-12 19:43:51.000,a360bd7f,0,OTHER
282,Member discount 5%,82,2025-07-12 19:43:51.000,d1629b3c,0,DISCOUNT
283,Birthday bonus,83,2025-07-12 19:43:51.000,622a5d89,0,OTHER
284,Free coffee,83,2025-07-12 19:43:51.000,31bbecf2,150,FREE_PRODUCT
285,20% off any purchase,83,2025-07-12 19:43:51.000,da0c0028,800,DISCOUNT
286,Free dessert,83,2025-07-12 19:43:51.000,43a709ac,500,FREE_PRODUCT
287,Free dessert,84,2025-07-12 19:43:51.000,e2d8cc53,500,FREE_PRODUCT
288,20% off any purchase,84,2025-07-12 19:43:51.000,149862f8,800,DISCOUNT
289,Birthday bonus,84,2025-07-12 19:43:51.000,198f6c20,0,OTHER
290,Free coffee,84,2025-07-12 19:43:51.000,92795e5d,150,FREE_PRODUCT
291,10% off next visit,85,2025-07-12 19:43:51.000,8a342496,300,DISCOUNT
292,20% off any purchase,85,2025-07-12 19:43:51.000,aa4c614e,800,DISCOUNT
293,Free coffee,85,2025-07-12 19:43:51.000,fa87710e,150,FREE_PRODUCT
294,Birthday bonus,85,2025-07-12 19:43:51.000,33fb580f,0,OTHER
295,Free dessert,86,2025-07-12 19:43:51.000,52e35030,500,FREE_PRODUCT
296,Birthday bonus,86,2025-07-12 19:43:51.000,a5da2cbc,0,OTHER
297,10% off next visit,86,2025-07-12 19:43:51.000,0388f02a,300,DISCOUNT
298,20% off any purchase,86,2025-07-12 19:43:51.000,d1ca6486,800,DISCOUNT
299,Free coffee,86,2025-07-12 19:43:51.000,e754f52a,150,FREE_PRODUCT
300,Free coffee,87,2025-07-12 19:43:51.000,d50d6e30,150,FREE_PRODUCT
301,10% off next visit,87,2025-07-12 19:43:51.000,b5b454b3,300,DISCOUNT
302,Free dessert,87,2025-07-12 19:43:51.000,ad25a1b5,500,FREE_PRODUCT
303,Birthday bonus,87,2025-07-12 19:43:51.000,27c4d3a1,0,OTHER
304,20% off any purchase,87,2025-07-12 19:43:51.000,5dd03f6e,800,DISCOUNT
305,Exclusive member offer,88,2025-07-12 19:43:51.000,2f34e6c2,0,OTHER
306,Member discount 5%,88,2025-07-12 19:43:51.000,78ef9648,0,DISCOUNT
307,Buy 9 get 1 free,89,2025-07-12 19:43:51.000,7f9afe92,0,FREE_PRODUCT
308,Complimentary upgrade,89,2025-07-12 19:43:51.000,95dbde39,0,OTHER
309,Free product,89,2025-07-12 19:43:51.000,867f05d6,0,FREE_PRODUCT
310,15% discount,89,2025-07-12 19:43:51.000,d5739ff4,0,DISCOUNT
311,Free dessert,90,2025-07-12 19:43:51.000,0b4b5cb3,500,FREE_PRODUCT
312,10% off next visit,90,2025-07-12 19:43:51.000,4ca5b131,300,DISCOUNT
313,Birthday bonus,90,2025-07-12 19:43:51.000,57ca0ca7,0,OTHER
314,20% off any purchase,90,2025-07-12 19:43:51.000,86c56896,800,DISCOUNT
315,Free coffee,90,2025-07-12 19:43:51.000,bed214ca,150,FREE_PRODUCT
316,Free product,91,2025-07-12 19:43:51.000,c48df65b,0,FREE_PRODUCT
317,Buy 9 get 1 free,91,2025-07-12 19:43:51.000,7468e677,0,FREE_PRODUCT
318,15% discount,91,2025-07-12 19:43:51.000,1b4ba135,0,DISCOUNT
319,Complimentary upgrade,91,2025-07-12 19:43:51.000,a791b204,0,OTHER
320,20% off any purchase,92,2025-07-12 19:43:51.000,4186f436,800,DISCOUNT
