id,type,enable,body,value,business_id
40,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,10
41,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,11
42,NEW_REWARD,1,Congrats! You just earned a new reward.,0,11
43,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,11
44,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,11
45,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,12
46,NEW_REWARD,0,Congrats! You just earned a new reward.,0,12
47,INACTIVITY_SHORT,0,We miss you! It has been a while. Come earn points.,60,12
48,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,12
49,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,13
50,NEW_REWARD,0,Congrats! You just earned a new reward.,0,13
51,INACTIVITY_SHORT,0,We miss you! It has been a while. Come earn points.,60,13
52,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,13
53,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,14
54,NEW_REWARD,1,Congrats! You just earned a new reward.,0,14
55,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,14
56,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,14
57,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,15
58,NEW_REWARD,0,Congrats! You just earned a new reward.,0,15
59,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,15
60,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,15
61,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,16
62,NEW_REWARD,1,Congrats! You just earned a new reward.,0,16
63,INACTIVITY_SHORT,0,We miss you! It has been a while. Come earn points.,60,16
64,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,16
65,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,17
66,NEW_REWARD,1,Congrats! You just earned a new reward.,0,17
67,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,17
68,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,17
69,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,18
70,NEW_REWARD,1,Congrats! You just earned a new reward.,0,18
71,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,18
72,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,18
73,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,19
74,NEW_REWARD,1,Congrats! You just earned a new reward.,0,19
75,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,19
76,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,19
77,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,20
78,NEW_REWARD,1,Congrats! You just earned a new reward.,0,20
79,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,20
80,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,20
81,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,21
82,NEW_REWARD,1,Congrats! You just earned a new reward.,0,21
83,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,21
84,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,21
85,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,22
86,NEW_REWARD,1,Congrats! You just earned a new reward.,0,22
87,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,22
88,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,22
89,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,23
90,NEW_REWARD,1,Congrats! You just earned a new reward.,0,23
91,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,23
92,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,23
93,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,24
94,NEW_REWARD,1,Congrats! You just earned a new reward.,0,24
95,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,24
96,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,24
97,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,25
98,NEW_REWARD,1,Congrats! You just earned a new reward.,0,25
99,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,25
100,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,25
101,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,26
102,NEW_REWARD,0,Congrats! You just earned a new reward.,0,26
103,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,26
104,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,26
105,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,27
106,NEW_REWARD,1,Congrats! You just earned a new reward.,0,27
107,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,27
108,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,27
109,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,28
110,NEW_REWARD,1,Congrats! You just earned a new reward.,0,28
111,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,28
112,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,28
113,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,29
114,NEW_REWARD,1,Congrats! You just earned a new reward.,0,29
115,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,29
116,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,29
117,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,30
118,NEW_REWARD,0,Congrats! You just earned a new reward.,0,30
119,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,30
120,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,30
121,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,31
122,NEW_REWARD,1,Congrats! You just earned a new reward.,0,31
123,INACTIVITY_SHORT,0,We miss you! It has been a while. Come earn points.,60,31
124,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,31
125,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,32
126,NEW_REWARD,1,Congrats! You just earned a new reward.,0,32
127,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,32
128,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,32
129,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,33
130,NEW_REWARD,1,Congrats! You just earned a new reward.,0,33
131,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,33
132,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,33
133,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,34
134,NEW_REWARD,1,Congrats! You just earned a new reward.,0,34
135,INACTIVITY_SHORT,0,We miss you! It has been a while. Come earn points.,60,34
136,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,34
137,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,35
138,NEW_REWARD,1,Congrats! You just earned a new reward.,0,35
139,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,35
140,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,35
141,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,36
142,NEW_REWARD,0,Congrats! You just earned a new reward.,0,36
143,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,36
144,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,36
145,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,37
146,NEW_REWARD,1,Congrats! You just earned a new reward.,0,37
147,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,37
148,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,37
149,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,38
150,NEW_REWARD,1,Congrats! You just earned a new reward.,0,38
151,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,38
152,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,38
153,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,39
154,NEW_REWARD,1,Congrats! You just earned a new reward.,0,39
155,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,39
156,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,39
157,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,40
158,NEW_REWARD,0,Congrats! You just earned a new reward.,0,40
159,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,40
160,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,40
161,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,41
162,NEW_REWARD,1,Congrats! You just earned a new reward.,0,41
163,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,41
164,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,41
165,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,42
166,NEW_REWARD,1,Congrats! You just earned a new reward.,0,42
167,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,42
168,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,42
169,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,43
170,NEW_REWARD,1,Congrats! You just earned a new reward.,0,43
171,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,43
172,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,43
173,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,44
174,NEW_REWARD,0,Congrats! You just earned a new reward.,0,44
175,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,44
176,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,44
177,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,45
178,NEW_REWARD,1,Congrats! You just earned a new reward.,0,45
179,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,45
180,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,45
181,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,46
182,NEW_REWARD,1,Congrats! You just earned a new reward.,0,46
183,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,46
184,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,46
185,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,47
186,NEW_REWARD,1,Congrats! You just earned a new reward.,0,47
187,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,47
188,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,47
189,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,48
190,NEW_REWARD,1,Congrats! You just earned a new reward.,0,48
191,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,48
192,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,48
193,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,49
194,NEW_REWARD,0,Congrats! You just earned a new reward.,0,49
195,INACTIVITY_SHORT,0,We miss you! It has been a while. Come earn points.,60,49
196,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,49
197,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,50
198,NEW_REWARD,1,Congrats! You just earned a new reward.,0,50
199,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,50
200,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,50
201,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,51
202,NEW_REWARD,1,Congrats! You just earned a new reward.,0,51
203,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,51
204,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,51
205,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,52
206,NEW_REWARD,1,Congrats! You just earned a new reward.,0,52
207,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,52
208,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,52
209,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,53
210,NEW_REWARD,0,Congrats! You just earned a new reward.,0,53
211,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,53
212,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,53
213,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,54
214,NEW_REWARD,1,Congrats! You just earned a new reward.,0,54
215,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,54
216,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,54
217,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,55
218,NEW_REWARD,1,Congrats! You just earned a new reward.,0,55
219,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,55
220,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,55
221,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,56
222,NEW_REWARD,1,Congrats! You just earned a new reward.,0,56
223,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,56
224,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,56
225,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,57
226,NEW_REWARD,1,Congrats! You just earned a new reward.,0,57
227,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,57
228,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,57
229,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,58
230,NEW_REWARD,0,Congrats! You just earned a new reward.,0,58
231,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,58
232,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,58
233,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,59
234,NEW_REWARD,1,Congrats! You just earned a new reward.,0,59
235,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,59
236,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,59
237,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,60
238,NEW_REWARD,1,Congrats! You just earned a new reward.,0,60
239,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,60
240,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,60
241,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,61
242,NEW_REWARD,0,Congrats! You just earned a new reward.,0,61
243,INACTIVITY_SHORT,0,We miss you! It has been a while. Come earn points.,60,61
244,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,61
245,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,62
246,NEW_REWARD,1,Congrats! You just earned a new reward.,0,62
247,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,62
248,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,62
249,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,63
250,NEW_REWARD,1,Congrats! You just earned a new reward.,0,63
251,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,63
252,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,63
253,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,64
254,NEW_REWARD,1,Congrats! You just earned a new reward.,0,64
255,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,64
256,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,64
257,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,65
258,NEW_REWARD,1,Congrats! You just earned a new reward.,0,65
259,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,65
260,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,65
261,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,66
262,NEW_REWARD,1,Congrats! You just earned a new reward.,0,66
263,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,66
264,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,66
265,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,67
266,NEW_REWARD,1,Congrats! You just earned a new reward.,0,67
267,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,67
268,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,67
269,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,68
270,NEW_REWARD,1,Congrats! You just earned a new reward.,0,68
271,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,68
272,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,68
273,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,69
274,NEW_REWARD,0,Congrats! You just earned a new reward.,0,69
275,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,69
276,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,69
277,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,70
278,NEW_REWARD,1,Congrats! You just earned a new reward.,0,70
279,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,70
280,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,70
281,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,71
282,NEW_REWARD,1,Congrats! You just earned a new reward.,0,71
283,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,71
284,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,71
285,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,72
286,NEW_REWARD,1,Congrats! You just earned a new reward.,0,72
287,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,72
288,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,72
289,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,73
290,NEW_REWARD,1,Congrats! You just earned a new reward.,0,73
291,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,73
292,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,73
293,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,74
294,NEW_REWARD,1,Congrats! You just earned a new reward.,0,74
295,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,74
296,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,74
297,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,75
298,NEW_REWARD,1,Congrats! You just earned a new reward.,0,75
299,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,75
300,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,75
301,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,76
302,NEW_REWARD,1,Congrats! You just earned a new reward.,0,76
303,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,76
304,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,76
305,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,77
306,NEW_REWARD,1,Congrats! You just earned a new reward.,0,77
307,INACTIVITY_SHORT,0,We miss you! It has been a while. Come earn points.,60,77
308,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,77
309,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,78
310,NEW_REWARD,0,Congrats! You just earned a new reward.,0,78
311,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,78
312,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,78
313,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,79
314,NEW_REWARD,1,Congrats! You just earned a new reward.,0,79
315,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,79
316,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,79
317,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,80
318,NEW_REWARD,1,Congrats! You just earned a new reward.,0,80
319,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,80
320,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,80
321,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,81
322,NEW_REWARD,1,Congrats! You just earned a new reward.,0,81
323,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,81
324,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,81
325,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,82
326,NEW_REWARD,1,Congrats! You just earned a new reward.,0,82
327,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,82
328,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,82
329,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,83
330,NEW_REWARD,1,Congrats! You just earned a new reward.,0,83
331,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,83
332,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,83
333,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,84
334,NEW_REWARD,1,Congrats! You just earned a new reward.,0,84
335,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,84
336,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,84
337,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,85
338,NEW_REWARD,1,Congrats! You just earned a new reward.,0,85
339,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,85
340,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,85
341,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,86
342,NEW_REWARD,1,Congrats! You just earned a new reward.,0,86
343,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,86
344,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,86
345,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,87
346,NEW_REWARD,1,Congrats! You just earned a new reward.,0,87
347,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,87
348,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,87
349,BIRTHDAY,0,Happy birthday! Your special gift is waiting for you.,0,88
350,NEW_REWARD,0,Congrats! You just earned a new reward.,0,88
351,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,88
352,INACTIVITY_LONG,0,Long time no see! Here is an incentive to come back.,90,88
353,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,89
354,NEW_REWARD,1,Congrats! You just earned a new reward.,0,89
355,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,89
356,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,89
357,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,90
358,NEW_REWARD,1,Congrats! You just earned a new reward.,0,90
359,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,90
360,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,90
361,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,91
362,NEW_REWARD,0,Congrats! You just earned a new reward.,0,91
363,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,91
364,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,91
365,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,92
366,NEW_REWARD,1,Congrats! You just earned a new reward.,0,92
367,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,92
368,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,92
369,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,93
370,NEW_REWARD,1,Congrats! You just earned a new reward.,0,93
371,INACTIVITY_SHORT,0,We miss you! It has been a while. Come earn points.,60,93
372,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,93
373,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,94
374,NEW_REWARD,1,Congrats! You just earned a new reward.,0,94
375,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,94
376,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,94
377,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,95
378,NEW_REWARD,0,Congrats! You just earned a new reward.,0,95
379,INACTIVITY_SHORT,1,We miss you! It has been a while. Come earn points.,60,95
380,INACTIVITY_LONG,1,Long time no see! Here is an incentive to come back.,90,95
381,BIRTHDAY,1,Happy birthday! Your special gift is waiting for you.,0,96
382,NEW_REWARD,1,Congrats! You just earned a new reward.,0,96
