id,uid,name,slug,loyalty_type,stamps_in_strip,apple_background_color,apple_description,apple_foreground_color,apple_label_color,enroll_logo,apple_pass_icon,apple_pass_strips_folder,apple_back_fields,apple_header_field_label,apple_header_field_value,cardholder_label,max_transaction_amount,tier,active,header_text,max_transaction_amount_per_day,enable_new_transaction_email,apple_pass_icon_rectangle,timezone_id,country_id,require_business_branch_in_form,enable_raffles,card_qr_redirect_url,additional_form_checkbox,can_see_products_analytics,can_see_business_branches_analytics,can_do_exports
15,e06fc8c6,La Piazza,la-piazza,STAMPS,10,#F5F5F5,Loyalty card for La Piazza,#FFFFFF,#CCCCCC,assets/logos/la-piazza.png,assets/icons/la-piazza.png,assets/strips/la-piazza/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/la-piazza""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,2000,GROW,1,Welcome to La Piazza,10000,1,assets/icons/la-piazza_rect.png,2,2,0,0,https://luyoa.com/enroll/la-piazza,[],1,1,1
16,c7652f94,AutoSpa,autospa,STAMPS,12,#1B4F72,Loyalty card for AutoSpa,#FFFFFF,#CCCCCC,assets/logos/autospa.png,assets/icons/autospa.png,assets/strips/autospa/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/autospa""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,200,STARTER,1,Welcome to AutoSpa,1000,0,assets/icons/autospa_rect.png,1,1,0,0,https://luyoa.com/enroll/autospa,[],0,0,0
17,19decf2a,Book & Bean,book-and-bean,STAMPS,8,#F5F5F5,Loyalty card for Book & Bean,#FFFFFF,#CCCCCC,assets/logos/book-and-bean.png,assets/icons/book-and-bean.png,assets/strips/book-and-bean/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/book-and-bean""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,2000,STARTER,1,Welcome to Book & Bean,4000,0,assets/icons/book-and-bean_rect.png,1,1,1,1,https://luyoa.com/enroll/book-and-bean,[],0,0,0
18,6da45950,The Bakehouse,the-bakehouse-171,STAMPS,12,#0F3460,Loyalty card for The Bakehouse,#FFFFFF,#CCCCCC,assets/logos/the-bakehouse-171.png,assets/icons/the-bakehouse-171.png,assets/strips/the-bakehouse-171/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-bakehouse-171""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,2000,GROW,1,Welcome to The Bakehouse,6000,0,assets/icons/the-bakehouse-171_rect.png,2,2,0,0,https://luyoa.com/enroll/the-bakehouse-171,[],1,1,1
19,147a314f,Sunrise Cafe,sunrise-cafe,STATIC,,#1B4F72,Loyalty card for Sunrise Cafe,#FFFFFF,#CCCCCC,assets/logos/sunrise-cafe.png,assets/icons/sunrise-cafe.png,assets/strips/sunrise-cafe/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/sunrise-cafe""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,STARTER,1,Welcome to Sunrise Cafe,10000,0,assets/icons/sunrise-cafe_rect.png,3,2,1,0,https://luyoa.com/enroll/sunrise-cafe,[],0,0,0
20,9fc33a78,The Fork,the-fork,BALANCE,,#2C3E50,Loyalty card for The Fork,#FFFFFF,#CCCCCC,assets/logos/the-fork.png,assets/icons/the-fork.png,assets/strips/the-fork/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-fork""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,2000,CORE,1,Welcome to The Fork,10000,0,assets/icons/the-fork_rect.png,2,2,0,1,https://luyoa.com/enroll/the-fork,[],1,1,0
21,4fcd3f40,Wrap & Roll,wrap-and-roll,BALANCE,,#2C3E50,Loyalty card for Wrap & Roll,#FFFFFF,#CCCCCC,assets/logos/wrap-and-roll.png,assets/icons/wrap-and-roll.png,assets/strips/wrap-and-roll/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/wrap-and-roll""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,200,STARTER,1,Welcome to Wrap & Roll,1000,0,assets/icons/wrap-and-roll_rect.png,1,1,0,0,https://luyoa.com/enroll/wrap-and-roll,[],0,0,0
22,a1b10d25,PourMore,pourmore,BALANCE,,#0F3460,Loyalty card for PourMore,#FFFFFF,#CCCCCC,assets/logos/pourmore.png,assets/icons/pourmore.png,assets/strips/pourmore/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/pourmore""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,STARTER,1,Welcome to PourMore,5000,1,assets/icons/pourmore_rect.png,1,1,1,0,https://luyoa.com/enroll/pourmore,[],0,0,0
23,0f6e90fd,Street Eats,street-eats,STAMPS,8,#1A1A2E,Loyalty card for Street Eats,#FFFFFF,#CCCCCC,assets/logos/street-eats.png,assets/icons/street-eats.png,assets/strips/street-eats/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/street-eats""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,CORE,1,Welcome to Street Eats,15000,0,assets/icons/street-eats_rect.png,2,2,0,0,https://luyoa.com/enroll/street-eats,[],1,1,0
24,4c334a76,Mode & Co,mode-and-co,BALANCE,,#1A1A2E,Loyalty card for Mode & Co,#FFFFFF,#CCCCCC,assets/logos/mode-and-co.png,assets/icons/mode-and-co.png,assets/strips/mode-and-co/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/mode-and-co""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,GROW,1,Welcome to Mode & Co,10000,0,assets/icons/mode-and-co_rect.png,4,2,1,0,https://luyoa.com/enroll/mode-and-co,[],1,1,1
25,ba54d4ca,The Bakehouse,the-bakehouse-735,BALANCE,,#F5F5F5,Loyalty card for The Bakehouse,#FFFFFF,#CCCCCC,assets/logos/the-bakehouse-735.png,assets/icons/the-bakehouse-735.png,assets/strips/the-bakehouse-735/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-bakehouse-735""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,STARTER,1,Welcome to The Bakehouse,3000,1,assets/icons/the-bakehouse-735_rect.png,1,1,1,0,https://luyoa.com/enroll/the-bakehouse-735,[],0,0,0
26,a015f7f5,Snappy Meals,snappy-meals,BALANCE,,#1B4F72,Loyalty card for Snappy Meals,#FFFFFF,#CCCCCC,assets/logos/snappy-meals.png,assets/icons/snappy-meals.png,assets/strips/snappy-meals/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/snappy-meals""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,500,GROW,1,Welcome to Snappy Meals,1000,1,assets/icons/snappy-meals_rect.png,1,1,1,1,https://luyoa.com/enroll/snappy-meals,[],1,1,1
27,7ef9ef72,The Coffee Spot,the-coffee-spot,STAMPS,10,#2C3E50,Loyalty card for The Coffee Spot,#FFFFFF,#CCCCCC,assets/logos/the-coffee-spot.png,assets/icons/the-coffee-spot.png,assets/strips/the-coffee-spot/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-coffee-spot""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,GROW,1,Welcome to The Coffee Spot,10000,0,assets/icons/the-coffee-spot_rect.png,2,2,1,0,https://luyoa.com/enroll/the-coffee-spot,[],1,1,1
28,debde386,Casa Blanca,casa-blanca,BALANCE,,#0F3460,Loyalty card for Casa Blanca,#FFFFFF,#CCCCCC,assets/logos/casa-blanca.png,assets/icons/casa-blanca.png,assets/strips/casa-blanca/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/casa-blanca""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,STARTER,1,Welcome to Casa Blanca,25000,0,assets/icons/casa-blanca_rect.png,1,1,0,0,https://luyoa.com/enroll/casa-blanca,[],0,0,0
29,855e0af3,FitBase,fitbase,STAMPS,8,#F5F5F5,Loyalty card for FitBase,#FFFFFF,#CCCCCC,assets/logos/fitbase.png,assets/icons/fitbase.png,assets/strips/fitbase/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/fitbase""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,1000,STARTER,1,Welcome to FitBase,2000,1,assets/icons/fitbase_rect.png,3,2,0,0,https://luyoa.com/enroll/fitbase,[],0,0,0
30,a3049557,The Dental Studio,the-dental-studio,BALANCE,,#1B4F72,Loyalty card for The Dental Studio,#FFFFFF,#CCCCCC,assets/logos/the-dental-studio.png,assets/icons/the-dental-studio.png,assets/strips/the-dental-studio/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-dental-studio""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,200,GROW,1,Welcome to The Dental Studio,600,1,assets/icons/the-dental-studio_rect.png,1,1,0,0,https://luyoa.com/enroll/the-dental-studio,[],1,1,1
31,21fd273d,TailWag,tailwag,STAMPS,6,#1A1A2E,Loyalty card for TailWag,#FFFFFF,#CCCCCC,assets/logos/tailwag.png,assets/icons/tailwag.png,assets/strips/tailwag/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/tailwag""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,200,STARTER,1,Welcome to TailWag,600,0,assets/icons/tailwag_rect.png,4,2,0,1,https://luyoa.com/enroll/tailwag,[],0,0,0
32,ec8bb7dc,ShineStop,shinestop,STAMPS,12,#F5F5F5,Loyalty card for ShineStop,#FFFFFF,#CCCCCC,assets/logos/shinestop.png,assets/icons/shinestop.png,assets/strips/shinestop/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/shinestop""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,CORE,1,Welcome to ShineStop,25000,1,assets/icons/shinestop_rect.png,1,1,0,1,https://luyoa.com/enroll/shinestop,[],1,1,0
33,a2ccf95b,RollMaster,rollmaster,BALANCE,,#1B4F72,Loyalty card for RollMaster,#FFFFFF,#CCCCCC,assets/logos/rollmaster.png,assets/icons/rollmaster.png,assets/strips/rollmaster/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/rollmaster""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,200,GROW,1,Welcome to RollMaster,1000,1,assets/icons/rollmaster_rect.png,2,2,0,1,https://luyoa.com/enroll/rollmaster,[],1,1,1
34,9c247901,Cloth & Co,cloth-and-co,STAMPS,8,#0F3460,Loyalty card for Cloth & Co,#FFFFFF,#CCCCCC,assets/logos/cloth-and-co.png,assets/icons/cloth-and-co.png,assets/strips/cloth-and-co/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/cloth-and-co""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,500,CORE,1,Welcome to Cloth & Co,1500,0,assets/icons/cloth-and-co_rect.png,1,1,1,0,https://luyoa.com/enroll/cloth-and-co,[],1,1,0
35,4f21265e,Sushi Corner,sushi-corner,BALANCE,,#0F3460,Loyalty card for Sushi Corner,#FFFFFF,#CCCCCC,assets/logos/sushi-corner.png,assets/icons/sushi-corner.png,assets/strips/sushi-corner/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/sushi-corner""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,STARTER,1,Welcome to Sushi Corner,5000,0,assets/icons/sushi-corner_rect.png,1,1,1,1,https://luyoa.com/enroll/sushi-corner,[],0,0,0
36,54acea8c,PowerHouse,powerhouse,BALANCE,,#1B4F72,Loyalty card for PowerHouse,#FFFFFF,#CCCCCC,assets/logos/powerhouse.png,assets/icons/powerhouse.png,assets/strips/powerhouse/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/powerhouse""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,500,STARTER,1,Welcome to PowerHouse,1000,0,assets/icons/powerhouse_rect.png,4,2,0,0,https://luyoa.com/enroll/powerhouse,[],0,0,0
37,247c106e,SmilePoint,smilepoint-908,STATIC,,#F5F5F5,Loyalty card for SmilePoint,#FFFFFF,#CCCCCC,assets/logos/smilepoint-908.png,assets/icons/smilepoint-908.png,assets/strips/smilepoint-908/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/smilepoint-908""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,CORE,1,Welcome to SmilePoint,15000,1,assets/icons/smilepoint-908_rect.png,3,2,1,0,https://luyoa.com/enroll/smilepoint-908,[],1,1,0
38,59b80016,PharmaPoint,pharmapoint,STAMPS,8,#0F3460,Loyalty card for PharmaPoint,#FFFFFF,#CCCCCC,assets/logos/pharmapoint.png,assets/icons/pharmapoint.png,assets/strips/pharmapoint/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/pharmapoint""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,STARTER,1,Welcome to PharmaPoint,10000,0,assets/icons/pharmapoint_rect.png,2,2,1,0,https://luyoa.com/enroll/pharmapoint,[],0,0,0
39,f78d02e1,EasyTalk,easytalk,STAMPS,12,#0F3460,Loyalty card for EasyTalk,#FFFFFF,#CCCCCC,assets/logos/easytalk.png,assets/icons/easytalk.png,assets/strips/easytalk/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/easytalk""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,GROW,1,Welcome to EasyTalk,25000,1,assets/icons/easytalk_rect.png,3,2,1,0,https://luyoa.com/enroll/easytalk,[],1,1,1
40,4ac4ec50,The Dental Studio,the-dental-studio-282,STAMPS,12,#1B4F72,Loyalty card for The Dental Studio,#FFFFFF,#CCCCCC,assets/logos/the-dental-studio-282.png,assets/icons/the-dental-studio-282.png,assets/strips/the-dental-studio-282/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-dental-studio-282""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,200,STARTER,1,Welcome to The Dental Studio,600,1,assets/icons/the-dental-studio-282_rect.png,3,2,1,1,https://luyoa.com/enroll/the-dental-studio-282,[],0,0,0
41,15c455c5,Wrap & Roll,wrap-and-roll-66,STAMPS,12,#1A1A2E,Loyalty card for Wrap & Roll,#FFFFFF,#CCCCCC,assets/logos/wrap-and-roll-66.png,assets/icons/wrap-and-roll-66.png,assets/strips/wrap-and-roll-66/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/wrap-and-roll-66""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,2000,STARTER,1,Welcome to Wrap & Roll,6000,0,assets/icons/wrap-and-roll-66_rect.png,4,2,0,0,https://luyoa.com/enroll/wrap-and-roll-66,[],0,0,0
42,1b9603c7,SightLine,sightline,STATIC,,#1A1A2E,Loyalty card for SightLine,#FFFFFF,#CCCCCC,assets/logos/sightline.png,assets/icons/sightline.png,assets/strips/sightline/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/sightline""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,200,CORE,1,Welcome to SightLine,600,1,assets/icons/sightline_rect.png,4,2,0,0,https://luyoa.com/enroll/sightline,[],1,1,0
43,3ad06901,SmilePoint,smilepoint-742,BALANCE,,#0F3460,Loyalty card for SmilePoint,#FFFFFF,#CCCCCC,assets/logos/smilepoint-742.png,assets/icons/smilepoint-742.png,assets/strips/smilepoint-742/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/smilepoint-742""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,500,CORE,1,Welcome to SmilePoint,2500,0,assets/icons/smilepoint-742_rect.png,1,1,1,1,https://luyoa.com/enroll/smilepoint-742,[],1,1,0
44,6b6b3b8a,BottleShop,bottleshop,STAMPS,6,#0F3460,Loyalty card for BottleShop,#FFFFFF,#CCCCCC,assets/logos/bottleshop.png,assets/icons/bottleshop.png,assets/strips/bottleshop/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/bottleshop""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,1000,STARTER,1,Welcome to BottleShop,3000,1,assets/icons/bottleshop_rect.png,1,1,1,0,https://luyoa.com/enroll/bottleshop,[],0,0,0
45,5fdb2eca,Daily Market,daily-market-482,STAMPS,6,#FFFFFF,Loyalty card for Daily Market,#FFFFFF,#CCCCCC,assets/logos/daily-market-482.png,assets/icons/daily-market-482.png,assets/strips/daily-market-482/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/daily-market-482""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,GROW,1,Welcome to Daily Market,15000,0,assets/icons/daily-market-482_rect.png,1,1,0,1,https://luyoa.com/enroll/daily-market-482,[],1,1,1
46,3c8c9eaf,The Fork,the-fork-637,BALANCE,,#F5F5F5,Loyalty card for The Fork,#FFFFFF,#CCCCCC,assets/logos/the-fork-637.png,assets/icons/the-fork-637.png,assets/strips/the-fork-637/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-fork-637""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,500,GROW,1,Welcome to The Fork,2500,0,assets/icons/the-fork-637_rect.png,1,1,0,0,https://luyoa.com/enroll/the-fork-637,[],1,1,1
