id,data,integration_id,business_id
83,"{""webhook_url"": ""https://fabric-house-665.com/luyoa/webhook"", ""active"": true}",5,255
84,"{""webhook_url"": ""https://powerhouse-458.com/luyoa/webhook"", ""active"": true}",5,258
85,"{""webhook_url"": ""https://the-dough-co-740.com/luyoa/webhook"", ""active"": true}",2,262
86,"{""webhook_url"": ""https://la-piazza-704.com/luyoa/webhook"", ""active"": true}",2,266
87,"{""webhook_url"": ""https://the-bistro-151.com/luyoa/webhook"", ""active"": true}",1,267
88,"{""webhook_url"": ""https://green-table-855.com/luyoa/webhook"", ""active"": true}",3,268
89,"{""webhook_url"": ""https://medplus-577.com/luyoa/webhook"", ""active"": true}",4,270
90,"{""webhook_url"": ""https://yogacorner.com/luyoa/webhook"", ""active"": true}",5,271
91,"{""webhook_url"": ""https://oralfirst-21.com/luyoa/webhook"", ""active"": true}",5,272
92,"{""webhook_url"": ""https://the-style-room-620.com/luyoa/webhook"", ""active"": true}",2,273
93,"{""webhook_url"": ""https://visionfirst.com/luyoa/webhook"", ""active"": true}",5,277
94,"{""webhook_url"": ""https://sipfresh.com/luyoa/webhook"", ""active"": true}",5,281
95,"{""webhook_url"": ""https://quickshine.com/luyoa/webhook"", ""active"": true}",5,282
96,"{""webhook_url"": ""https://daily-bread-510.com/luyoa/webhook"", ""active"": true}",4,293
97,"{""webhook_url"": ""https://sunrise-bakery-437.com/luyoa/webhook"", ""active"": true}",1,296
98,"{""webhook_url"": ""https://iron-club-382.com/luyoa/webhook"", ""active"": true}",1,297
99,"{""webhook_url"": ""https://the-mat-room-713.com/luyoa/webhook"", ""active"": true}",1,298
100,"{""webhook_url"": ""https://talkfirst.com/luyoa/webhook"", ""active"": true}",2,303
101,"{""webhook_url"": ""https://the-bistro-615.com/luyoa/webhook"", ""active"": true}",5,305
102,"{""webhook_url"": ""https://autospa-221.com/luyoa/webhook"", ""active"": true}",2,307
103,"{""webhook_url"": ""https://talkfirst-5.com/luyoa/webhook"", ""active"": true}",4,308
104,"{""webhook_url"": ""https://medcorner.com/luyoa/webhook"", ""active"": true}",5,309
105,"{""webhook_url"": ""https://langcorner-399.com/luyoa/webhook"", ""active"": true}",4,314
106,"{""webhook_url"": ""https://clearvision-14.com/luyoa/webhook"", ""active"": true}",1,315
107,"{""webhook_url"": ""https://nectarbar-414.com/luyoa/webhook"", ""active"": true}",4,319
108,"{""webhook_url"": ""https://stylebox-118.com/luyoa/webhook"", ""active"": true}",3,320
109,"{""webhook_url"": ""https://chapter-one-554.com/luyoa/webhook"", ""active"": true}",1,321
110,"{""webhook_url"": ""https://oceansushi-765.com/luyoa/webhook"", ""active"": true}",2,323
111,"{""webhook_url"": ""https://eyecare-plus.com/luyoa/webhook"", ""active"": true}",1,325
112,"{""webhook_url"": ""https://quickmeds.com/luyoa/webhook"", ""active"": true}",5,327
113,"{""webhook_url"": ""https://cellar-door-767.com/luyoa/webhook"", ""active"": true}",2,328
114,"{""webhook_url"": ""https://the-sushi-bar-375.com/luyoa/webhook"", ""active"": true}",3,334
115,"{""webhook_url"": ""https://the-dining-room-240.com/luyoa/webhook"", ""active"": true}",4,336
116,"{""webhook_url"": ""https://la-piazza-649.com/luyoa/webhook"", ""active"": true}",3,337
117,"{""webhook_url"": ""https://thewinery-997.com/luyoa/webhook"", ""active"": true}",5,338
118,"{""webhook_url"": ""https://the-book-den-395.com/luyoa/webhook"", ""active"": true}",3,343
119,"{""webhook_url"": ""https://the-dough-co-516.com/luyoa/webhook"", ""active"": true}",1,344
120,"{""webhook_url"": ""https://furever-424.com/luyoa/webhook"", ""active"": true}",4,348
121,"{""webhook_url"": ""https://grab-and-go.com/luyoa/webhook"", ""active"": true}",3,358
122,"{""webhook_url"": ""https://the-bakehouse-389.com/luyoa/webhook"", ""active"": true}",5,362
123,"{""webhook_url"": ""https://green-basket.com/luyoa/webhook"", ""active"": true}",5,363
124,"{""webhook_url"": ""https://the-tech-store-352.com/luyoa/webhook"", ""active"": true}",3,369
125,"{""webhook_url"": ""https://pourmore-494.com/luyoa/webhook"", ""active"": true}",1,374
126,"{""webhook_url"": ""https://washpro.com/luyoa/webhook"", ""active"": true}",4,376
127,"{""webhook_url"": ""https://whitesmile-827.com/luyoa/webhook"", ""active"": true}",4,377
128,"{""webhook_url"": ""https://urban-thread.com/luyoa/webhook"", ""active"": true}",3,379
129,"{""webhook_url"": ""https://urban-grind.com/luyoa/webhook"", ""active"": true}",3,381
130,"{""webhook_url"": ""https://wordbridge-71.com/luyoa/webhook"", ""active"": true}",4,387
131,"{""webhook_url"": ""https://the-bistro-658.com/luyoa/webhook"", ""active"": true}",1,390
132,"{""webhook_url"": ""https://freshmart-292.com/luyoa/webhook"", ""active"": true}",4,396
133,"{""webhook_url"": ""https://furever-766.com/luyoa/webhook"", ""active"": true}",2,400
134,"{""webhook_url"": ""https://the-dough-co-217.com/luyoa/webhook"", ""active"": true}",5,406
135,"{""webhook_url"": ""https://espresso-lab-886.com/luyoa/webhook"", ""active"": true}",1,408
136,"{""webhook_url"": ""https://vitajuice-701.com/luyoa/webhook"", ""active"": true}",4,410
137,"{""webhook_url"": ""https://visionfirst-428.com/luyoa/webhook"", ""active"": true}",4,412
138,"{""webhook_url"": ""https://the-sushi-bar-745.com/luyoa/webhook"", ""active"": true}",1,414
139,"{""webhook_url"": ""https://powerhouse-888.com/luyoa/webhook"", ""active"": true}",2,418
140,"{""webhook_url"": ""https://the-reading-room-184.com/luyoa/webhook"", ""active"": true}",2,424
141,"{""webhook_url"": ""https://mode-and-co-67.com/luyoa/webhook"", ""active"": true}",2,429
142,"{""webhook_url"": ""https://shelf-life-577.com/luyoa/webhook"", ""active"": true}",3,431
143,"{""webhook_url"": ""https://smileplus-477.com/luyoa/webhook"", ""active"": true}",4,432
144,"{""webhook_url"": ""https://smartgear-727.com/luyoa/webhook"", ""active"": true}",4,437
145,"{""webhook_url"": ""https://story-corner.com/luyoa/webhook"", ""active"": true}",1,439
146,"{""webhook_url"": ""https://the-coffee-spot-359.com/luyoa/webhook"", ""active"": true}",4,442
147,"{""webhook_url"": ""https://burger-stop.com/luyoa/webhook"", ""active"": true}",1,443
148,"{""webhook_url"": ""https://powertech-365.com/luyoa/webhook"", ""active"": true}",5,444
149,"{""webhook_url"": ""https://bottleshop-394.com/luyoa/webhook"", ""active"": true}",5,448
150,"{""webhook_url"": ""https://pharmacare-677.com/luyoa/webhook"", ""active"": true}",2,451
151,"{""webhook_url"": ""https://harvest-table-525.com/luyoa/webhook"", ""active"": true}",5,460
152,"{""webhook_url"": ""https://bake-street.com/luyoa/webhook"", ""active"": true}",3,463
153,"{""webhook_url"": ""https://crusty-corner-258.com/luyoa/webhook"", ""active"": true}",1,469
154,"{""webhook_url"": ""https://daily-flow-659.com/luyoa/webhook"", ""active"": true}",4,473
155,"{""webhook_url"": ""https://the-bistro-175.com/luyoa/webhook"", ""active"": true}",3,481
156,"{""webhook_url"": ""https://quick-bite-572.com/luyoa/webhook"", ""active"": true}",3,486
157,"{""webhook_url"": ""https://purepress-199.com/luyoa/webhook"", ""active"": true}",4,487
158,"{""webhook_url"": ""https://glow-studio-469.com/luyoa/webhook"", ""active"": true}",5,491
159,"{""webhook_url"": ""https://gadgethub-422.com/luyoa/webhook"", ""active"": true}",1,493
160,"{""webhook_url"": ""https://espresso-lab-445.com/luyoa/webhook"", ""active"": true}",5,494
161,"{""webhook_url"": ""https://nori-house-136.com/luyoa/webhook"", ""active"": true}",2,496
162,"{""webhook_url"": ""https://stylebox-466.com/luyoa/webhook"", ""active"": true}",3,497
163,"{""webhook_url"": ""https://peakfit.com/luyoa/webhook"", ""active"": true}",2,500
