A,B
607,2973
608,2985
609,2973
610,2952
611,2975
612,2974
613,2956
614,3010
615,2964
616,2972
617,2998
618,2962
619,3009
620,2985
621,3002
622,2997
623,3026
624,3003
625,3014
626,2942
627,2996
628,3030
629,3057
630,3029
631,3051
632,3041
633,3027
634,3064
635,3072
636,3072
637,3096
638,3097
639,3111
640,3112
641,3154
642,3147
643,3140
644,3152
645,3152
646,3203
647,3205
648,3208
649,3218
650,3229
651,3232
652,3238
653,3200
654,3199
655,3242
656,3185
657,3237
658,3206
659,3246
660,3215
661,3225
662,3237
663,3194
664,3251
665,3256
666,3255
667,3250
668,3254
669,3257
670,3269
671,3278
672,3273
673,3270
674,3289
675,3283
676,3284
677,3282
678,3330
679,3312
680,3303
681,3334
682,3319
683,3293
684,3336
685,3308
686,3292
687,3303
688,3296
689,3321
690,3292
691,3322
692,3316
693,3301
694,3316
695,3299
696,3344
697,3361
698,3359
699,3382
700,3383
701,3381
702,3380
703,3384
704,3407
705,3437
706,3431
707,3439
708,3453
709,3461
710,3447
711,3395
712,3458
713,3442
714,3392
715,3417
716,3424
717,3450
718,3447
719,3459
720,3410
721,3410
722,3435
723,3445
724,3422
725,3462
726,3415
727,3444
728,3487
729,3503
730,3486
731,3482
732,3485
733,3517
734,3504
735,3530
736,3507
737,3505
738,3486
739,3502
740,3518
741,3492
742,3497
743,3537
744,3503
745,3542
746,3503
747,3521
748,3510
749,3511
750,3501
751,3505
752,3518
753,3540
754,3483
755,3478
756,3496
757,3550
758,3562
759,3563
760,3573
761,3568
762,3571
763,3577
764,3606
765,3640
766,3615
767,3635
768,3625
769,3632
770,3635
771,3625
772,3632
773,3625
774,3624
775,3672
776,3662
777,3680
778,3683
779,3656
780,3665
781,3701
782,3695
783,3686
784,3698
785,3667
786,3648
787,3652
788,3644
789,3663
790,3700
791,3690
792,3703
793,3653
794,3696
795,3641
796,3651
797,3654
798,3703
799,3713
800,3724
801,3742
802,3750
803,3746
804,3833
805,3776
806,3772
807,3821
808,3809
809,3762
810,3813
811,3818
812,3835
813,3784
814,3813
815,3829
816,3846
817,3770
818,3764
819,3855
820,3896
821,3897
822,3894
823,3899
824,3902
825,3910
826,3946
827,3925
828,3954
829,3976
830,3938
831,3935
832,3946
833,3943
834,3959
835,3960
836,3910
837,3936
838,3914
839,3986
840,4017
841,4021
842,4060
843,3994
844,4001
845,3999
846,4083
847,4071
848,4082
849,4080
850,4075
851,4071
852,4066
853,4070
854,4097
855,4102
856,4114
857,4123
858,4163
859,4161
860,4154
861,4170
862,4169
863,4194
864,4182
865,4176
866,4192
867,4197
868,4186
869,4194
870,4193
871,4178
872,4185
873,4210
874,4219
875,4221
876,4230
877,4217
878,4223
879,4236
880,4245
881,4245
882,4231
883,4237
884,4264
885,4260
886,4250
887,4249
888,4312
889,4351
890,4354
891,4326
892,4325
893,4349
894,4335
895,4323
896,4332
897,4307
898,4312
899,4344
900,4306
901,4369
902,4365
903,4367
904,4364
905,4381
906,4404
907,4390
908,4388
909,4407
910,4434
911,4423
912,4417
913,4409
914,4427
915,4421
916,4431
917,4468
918,4511
919,4512
920,4541
921,4553
922,4539
923,4543
924,4566
925,4557
926,4567
927,4530
928,4553
929,4572
930,4525
931,4538
932,4559
933,4528
934,4546
935,4570
936,4541
937,4546
938,4567
939,4551
940,4562
941,4590
942,4610
943,4621
944,4683
945,4651
946,4661
947,4657
948,4675
949,4644
950,4653
951,4677
952,4689
953,4666
954,4669
955,4636
956,4651
957,4617
958,4620
959,4654
960,4695
961,4700
962,4692
963,4700
964,4713
965,4726
966,4724
967,4732
968,4734
969,4729
970,4754
971,4757
972,4748
973,4745
974,4743
975,4765
976,4763
977,4766
978,4783
979,4802
980,4811
981,4827
982,4827
983,4830
984,4861
985,4875
986,4921
987,4929
988,4928
989,4926
990,4935
991,4930
992,4990
993,4981
994,4986
995,4960
996,4970
997,4978
998,5015
999,5007
1000,5024
1001,5025
1002,5000
1003,5021
1004,5010
1005,5058
1006,5056
1007,5039
1008,5062
1009,5058
1010,5039
1011,5038
1012,5041
1013,5057
1014,5042
1015,5039
1016,5059
1017,5155
1018,5120
1019,5127
1020,5147
1021,5155
1022,5166
1023,5157
1024,5124
1025,5135
1026,5166
1027,5132
1028,5134
1029,5108
1030,5119
1031,5108
1032,5132
1033,5147
1034,5097
1035,5109
1036,5176
1037,5177
1038,5179
1039,5188
1040,5191
1041,5180
1042,5177
1043,5182
1044,5204
1045,5210
1046,5199
1047,5206
1048,5210
1049,5217
1050,5224
1051,5223
1052,5239
1053,5238
1054,5253
1055,5232
1056,5241
1057,5235
1058,5233
1059,5247
1060,5255
1061,5257
1062,5263
1063,5276
1064,5284
1065,5285
1066,5293
1067,5293
1068,5292
1069,5300
1070,5300
1071,5305
1072,5342
1073,5327
1074,5341
1075,5329
1076,5319
1077,5342
1078,5326
1079,5313
1080,5349
1081,5347
1082,5353
1083,5345
1084,5348
1085,5369
1086,5366
1087,5394
1088,5395
1089,5391
1090,5415
1091,5408
1092,5419
1093,5387
1094,5400
1095,5394
1096,5400
1097,5380
1098,5406
1099,5427
1100,5401
1101,5428
1102,5400
1103,5364
1104,5420
1105,5417
1106,5419
1107,5417
1108,5415
1109,5380
1110,5438
1111,5454
1112,5449
1113,5458
1114,5503
1115,5504
1116,5469
1117,5495
1118,5503
1119,5464
1120,5504
1121,5481
1122,5471
1123,5512
1124,5490
1125,5484
1126,5504
1127,5502
1128,5473
1129,5473
1130,5481
1131,5482
1132,5493
1133,5492
1134,5503
1135,5479
1136,5550
1137,5529
1138,5543
1139,5558
1140,5525
1141,5534
1142,5537
1143,5515
1144,5534
1145,5531
1146,5568
1147,5613
1148,5590
1149,5596
1150,5588
1151,5603
1152,5602
1153,5607
1154,5597
1155,5590
1156,5613
1157,5608
1158,5632
1159,5627
1160,5637
1161,5622
1162,5627
1163,5637
1164,5619
1165,5662
1166,5665
1167,5652
1168,5662
1169,5646
1170,5659
1171,5654
1172,5659
1173,5665
1174,5662
1175,5690
1176,5691
1177,5676
1178,5704
1179,5719
1180,5720
1181,5727
1182,5740
1183,5741
1184,5805
1185,5762
1186,5766
1187,5763
1188,5817
1189,5820
1190,5822
1191,5823
1192,5813
1193,5877
1194,5851
1195,5849
1196,5867
1197,5877
1198,5869
1199,5871
1200,5865
1201,5866
1202,5865
1203,5925
1204,5909
1205,5926
1206,5886
1207,5922
1208,5926
1209,5905
1210,5910
1211,5916
1212,5942
1213,5926
1214,5904
1215,5928
1216,5904
1217,5934
1218,5883
1219,5907
1220,5891
1221,6033
1222,6035
1223,6042
1224,6058
1225,6077
1226,6049
1227,6055
1228,6072
1229,6052
1230,6057
1231,6060
1232,6075
1233,6054
1234,6063
1235,6064
1236,6103
1237,6120
1238,6131
1239,6125
1240,6139
1241,6110
1242,6164
1243,6163
1244,6130
1245,6166
1246,6107
1247,6104
1248,6127
1249,6130
1250,6130
1251,6121
1252,6122
1253,6134
1254,6107
1255,6142
1256,6142
1257,6112
1258,6122
1259,6151
1260,6154
1261,6165
1262,6168
1263,6121
1264,6172
1265,6206
1266,6185
1267,6229
1268,6254
1269,6235
1270,6241
1271,6230
1272,6210
1273,6216
1274,6242
1275,6196
1276,6235
1277,6253
1278,6229
1279,6199
1280,6249
1281,6227
1282,6222
1283,6234
1284,6225
1285,6230
1286,6204
1287,6227
1288,6238
1289,6237
1290,6249
1291,6272
1292,6268
1293,6260
1294,6344
1295,6337
1296,6336
1297,6288
1298,6289
1299,6279
1300,6278
1301,6328
1302,6336
1303,6307
1304,6283
1305,6289
1306,6310
1307,6321
1308,6304
1309,6331
1310,6338
1311,6323
1312,6318
1313,6329
1314,6317
1315,6316
1316,6318
1317,6286
1318,6278
1319,6348
1320,6385
1321,6358
1322,6358
1323,6403
1324,6412
1325,6408
1326,6407
1327,6360
1328,6371
1329,6352
1330,6359
1331,6400
1332,6399
1333,6381
1334,6380
1335,6417
1336,6437
1337,6436
1338,6440
1339,6436
1340,6437
1341,6427
1342,6441
1343,6424
1344,6440
1345,6450
1346,6457
1347,6478
1348,6494
1349,6502
1350,6491
1351,6487
1352,6485
1353,6499
1354,6499
1355,6505
1356,6534
1357,6530
1358,6556
1359,6542
1360,6578
1361,6564
1362,6577
1363,6582
1364,6582
1365,6579
1366,6567
1367,6562
1368,6600
1369,6595
1370,6593
1371,6611
1372,6625
1373,6621
1374,6630
1375,6616
1376,6606
1377,6629
1378,6626
1379,6632
1380,6625
1381,6637
1382,6635
1383,6680
1384,6663
1385,6678
1386,6665
1387,6660
1388,6643
1389,6642
1390,6643
1391,6643
1392,6664
1393,6703
1394,6732
1395,6706
1396,6765
1397,6766
1398,6758
1399,6871
1400,6872
1401,6856
1402,6841
1403,6872
1404,6845
1405,6882
1406,6878
1407,6888
1408,6918
1409,6929
1410,6925
1411,6925
1412,6898
1413,6916
1414,6908
1415,6901
1416,6903
1417,6906
1418,6907
1419,6920
1420,6929
1421,6919
1422,6905
1423,6893
1424,6892
1425,6934
1426,6940
1427,6951
1428,6950
1429,6998
1430,6997
1431,6991
1432,6999
1433,6965
1434,6990
1435,6974
1436,6972
1437,7000
1438,7003
1439,7019
1440,7010
1441,7009
1442,7084
1443,7086
1444,7028
1445,7039
1446,7038
1447,7081
1448,7038
1449,7033
1450,7036
1451,7064
1452,7046
1453,7055
1454,7027
1455,7060
1456,7040
1457,7029
1458,7072
1459,7095
1460,7093
1461,7122
1462,7124
1463,7133
1464,7144
1465,7204
1466,7208
1467,7154
1468,7190
1469,7198
1470,7172
1471,7189
1472,7174
1473,7202
1474,7167
1475,7164
1476,7179
1477,7210
1478,7191
1479,7210
1480,7211
1481,7165
1482,7142
1483,7180
1484,7137
1485,7166
1486,7156
1487,7161
1488,7182
1489,7185
1490,7265
1491,7290
1492,7263
1493,7277
1494,7286
1495,7239
1496,7265
1497,7255
1498,7277
1499,7251
1500,7254
1501,7280
1502,7259
1503,7234
1504,7256
1505,7267
1506,7266
1507,7285
1508,7246
1509,7230
1510,7269
1511,7225
1512,7277
1513,7253
1514,7298
1515,7268
1516,7256
1517,7226
1518,7284
1519,7236
1520,7247
1521,7306
1522,7333
1523,7325
1524,7334
1525,7335
1526,7308
1527,7321
1528,7319
1529,7308
1530,7307
1531,7305
1532,7333
1533,7316
1534,7347
1535,7357
1536,7358
1537,7351
1538,7379
1539,7379
1540,7370
1541,7364
1542,7370
1543,7381
1544,7366
1545,7439
1546,7395
1547,7398
1548,7409
1549,7411
1550,7467
1551,7508
1552,7529
1553,7517
1554,7525
1555,7534
1556,7529
1557,7586
1558,7580
1559,7558
1560,7579
1561,7577
1562,7552
1563,7585
1564,7574
1565,7564
1566,7576
1567,7582
1568,7563
1569,7553
1570,7585
1571,7577
1572,7561
1573,7561
1574,7551
1575,7547
1576,7603
1577,7592
1578,7601
1579,7591
1580,7654
1581,7658
1582,7663
1583,7632
1584,7612
1585,7628
1586,7660
1587,7665
1588,7631
1589,7611
1590,7646
1591,7647
1592,7636
1593,7632
1594,7663
1595,7614
1596,7682
1597,7674
1598,7679
1599,7684
1600,7679
1601,7739
1602,7724
1603,7762
1604,7725
1605,7719
1606,7733
1607,7713
1608,7738
1609,7747
1610,7713
1611,7751
1612,7718
1613,7743
1614,7722
1615,7717
1616,7746
1617,7720
1618,7728
1619,7729
1620,7756
1621,7718
1622,7722
1623,7772
1624,7778
1625,7781
1626,7795
1627,7798
1628,7789
1629,7794
1630,7793
1631,7806
1632,7809
1633,7817
1634,7834
1635,7876
1636,7873
1637,7869
1638,7916
1639,7889
1640,7907
1641,7920
1642,7922
1643,7921
1644,7953
1645,7943
1646,7941
1647,7953
1648,7941
1649,7955
1650,7966
1651,7975
1652,7959
1653,7965
1654,7964
1655,7991
1656,8009
1657,8010
1658,7996
1659,8013
1660,8007
1661,8001
1662,7997
1663,8074
1664,8087
1665,8132
1666,8135
1667,8077
1668,8090
1669,8099
1670,8150
1671,8140
1672,8132
1673,8082
1674,8113
1675,8133
1676,8095
1677,8127
1678,8125
1679,8084
1680,8101
1681,8150
1682,8080
1683,8125
1684,8128
1685,8117
1686,8090
1687,8137
1688,8168
1689,8166
1690,8178
1691,8178
1692,8169
1693,8181
1694,8205
1695,8203
1696,8182
1697,8182
1698,8226
1699,8190
1700,8250
1701,8215
1702,8238
1703,8249
1704,8217
1705,8201
1706,8239
1707,8182
1708,8188
1709,8227
1710,8258
1711,8277
1712,8276
1713,8287
1714,8286
1715,8284
1716,8291
1717,8265
1718,8292
1719,8314
1720,8254
1721,8272
1722,8289
1723,8317
1724,8270
1725,8298
1726,8339
1727,8352
1728,8375
1729,8376
1730,8390
1731,8374
1732,8352
1733,8389
1734,8379
1735,8383
1736,8388
1737,8344
1738,8371
1739,8397
1740,8371
1741,8391
1742,8356
1743,8396
1744,8351
1745,8364
1746,8383
1747,8341
1748,8353
1749,8365
1750,8353
1751,8341
1752,8396
1753,8420
1754,8421
1755,8431
1756,8432
1757,8445
1758,8428
1759,8444
1760,8437
1761,8474
1762,8428
1763,8472
1764,8458
1765,8434
1766,8455
1767,8478
1768,8482
1769,8467
1770,8431
1771,8468
1772,8433
1773,8466
1774,8457
1775,8454
1776,8446
1777,8441
1778,8490
1779,8489
1780,8498
1781,8508
1782,8496
1783,8530
1784,8525
1785,8535
1786,8538
1787,8533
1788,8549
1789,8549
1790,8553
1791,8583
1792,8557
1793,8582
1794,8581
1795,8574
1796,8576
1797,8558
1798,8582
1799,8610
1800,8611
1801,8616
1802,8618
1803,8673
1804,8638
1805,8635
1806,8656
1807,8659
1808,8655
1809,8629
1810,8643
1811,8641
1812,8658
1813,8664
1814,8636
1815,8695
1816,8688
1817,8699
1818,8681
1819,8687
1820,8689
1821,8692
1822,8678
1823,8684
1824,8698
1825,8705
1826,8714
1827,8713
1828,8726
1829,8717
1830,8724
1831,8715
1832,8727
1833,8732
1834,8777
1835,8794
1836,8788
1837,8784
1838,8797
1839,8788
1840,8798
1841,8806
1842,8785
1843,8809
1844,8831
1845,8812
1846,8809
1847,8809
1848,8831
1849,8851
1850,8847
1851,8869
1852,8898
1853,8878
1854,8880
1855,8891
1856,8874
1857,8902
1858,8886
1859,8891
1860,8885
1861,8875
1862,8893
1863,8874
1864,8885
1865,8903
1866,8935
1867,8933
1868,8933
1869,8947
1870,8946
1871,8937
1872,8920
1873,8941
1874,8929
1875,8939
1876,8960
1877,8966
1878,8958
1879,8964
1880,8955
1881,8988
1882,9015
1883,9001
1884,8999
1885,9023
1886,9021
1887,9013
1888,9000
1889,9001
1890,8999
1891,9007
1892,9016
1893,9070
1894,9064
1895,9065
1896,9061
1897,9049
1898,9065
1899,9052
1900,9044
1901,9066
1902,9058
1903,9062
1904,9072
1905,9072
1906,9079
1907,9105
1908,9110
1909,9099
1910,9114
1911,9106
1912,9098
1913,9082
1914,9143
1915,9096
1916,9098
1917,9086
1918,9151
1919,9148
1920,9157
1921,9160
1922,9171
1923,9192
1924,9181
1925,9190
1926,9206
1927,9196
1928,9169
1929,9192
1930,9216
1931,9220
1932,9213
1933,9247
1934,9281
1935,9292
1936,9383
1937,9320
1938,9320
1939,9370
1940,9383
1941,9371
1942,9381
1943,9328
1944,9351
1945,9368
1946,9383
1947,9369
1948,9365
1949,9322
1950,9363
1951,9329
1952,9310
1953,9445
1954,9402
1955,9442
1956,9427
1957,9423
1958,9422
1959,9419
1960,9446
1961,9414
1962,9415
1963,9419
1964,9442
1965,9454
1966,9442
1967,9436
1968,9418
1969,9442
1970,9441
1971,9452
1972,9429
1973,9453
1974,9394
1975,9455
1976,9406
1977,9440
1978,9461
1979,9474
1980,9468
1981,9485
1982,9481
1983,9492
1984,9512
1985,9512
1986,9517
1987,9525
1988,9521
1989,9526
1990,9541
1991,9529
1992,9530
1993,9537
1994,9571
1995,9559
1996,9562
1997,9568
1998,9555
1999,9603
2000,9574
2001,9583
2002,9554
2003,9571
2004,9558
2005,9570
2006,9575
2007,9597
2008,9565
2009,9567
2010,9559
2011,9571
2012,9559
2013,9556
2014,9614
2015,9569
2016,9568
2017,9566
2018,9575
2019,9619
2020,9625
2021,9634
2022,9632
2023,9655
2024,9653
2025,9654
2026,9659
2027,9660
2028,9669
2029,9661
2030,9667
2031,9667
2032,9662
2033,9661
2034,9670
2035,9664
2036,9697
2037,9705
2038,9707
2039,9689
2040,9696
2041,9718
2042,9706
2043,9721
2044,9706
2045,9689
2046,9715
2047,9732
2048,9759
2049,9758
2050,9769
2051,9772
2052,9795
2053,9808
2054,9806
2055,9783
2056,9799
2057,9785
2058,9795
2059,9797
2060,9799
2061,9783
2062,9797
2063,9786
2064,9810
2065,9810
2066,9832
2067,9834
2068,9842
2069,9858
2070,9851
2071,9858
2072,9862
2073,9904
2074,9932
2075,9904
2076,9913
2077,9915
2078,9928
2079,9928
2080,9910
2081,9914
2082,9889
2083,9925
2084,9927
2085,9889
2086,9890
2087,9937
2088,9946
2089,9942
2090,9952
2091,9955
2092,9963
2093,9998
2094,9988
2095,9969
2096,10006
2097,9966
2098,9990
2099,9991
2100,9993
2101,9992
2102,9988
2103,10005
2104,9985
2105,9973
2106,9973
2107,10002
2108,9988
2109,10010
2110,10020
2111,10013
2112,10031
2113,10045
2114,10048
2115,10060
2116,10066
2117,10071
2118,10072
2119,10085
2120,10083
2121,10091
2122,10092
2123,10093
2124,10122
2125,10115
2126,10118
2127,10125
2128,10124
2129,10133
2130,10137
2131,10152
2132,10148
2133,10161
2134,10208
2135,10211
2136,10172
2137,10167
2138,10190
2139,10205
2140,10220
2141,10163
2142,10196
2143,10166
2144,10187
2145,10215
2146,10223
2147,10207
2148,10180
2149,10190
2150,10216
2151,10174
2152,10197
2153,10200
2154,10168
2155,10186
2156,10181
2157,10184
2158,10204
2159,10226
2160,10301
2161,10237
2162,10270
2163,10291
2164,10280
2165,10259
2166,10235
2167,10291
2168,10234
2169,10251
2170,10237
2171,10275
2172,10280
2173,10253
2174,10283
2175,10251
2176,10272
2177,10317
2178,10360
2179,10367
2180,10313
2181,10370
2182,10375
2183,10335
2184,10372
2185,10310
2186,10378
2187,10327
2188,10375
2189,10334
2190,10353
2191,10312
2192,10303
2193,10371
2194,10345
2195,10307
2196,10367
2197,10336
2198,10307
2199,10341
2200,10321
2201,10364
2202,10339
2203,10336
2204,10312
2205,10332
2206,10374
2207,10372
2208,10345
2209,10364
2210,10350
2211,10387
2212,10394
2213,10388
2214,10410
2215,10419
2216,10471
2217,10491
2218,10505
2219,10451
2220,10484
2221,10461
2222,10483
2223,10459
2224,10478
2225,10472
2226,10458
2227,10441
2228,10469
2229,10543
2230,10570
2231,10564
2232,10614
2233,10564
2234,10566
2235,10587
2236,10594
2237,10560
2238,10602
2239,10557
2240,10556
2241,10580
2242,10570
2243,10577
2244,10589
2245,10579
2246,10623
2247,10634
2248,10653
2249,10648
2250,10646
2251,10663
2252,10640
2253,10651
2254,10646
2255,10662
2256,10675
2257,10686
2258,10667
2259,10681
2260,10674
2261,10682
2262,10689
2263,10669
2264,10669
2265,10707
2266,10706
2267,10715
2268,10703
2269,10716
2270,10734
2271,10734
2272,10743
2273,10756
2274,10850
2275,10892
2276,10880
2277,10906
2278,10927
2279,10980
2280,10958
2281,10921
2282,10935
2283,10915
2284,10921
2285,10949
2286,10941
2287,10968
2288,10950
2289,10973
2290,10945
2291,10972
2292,10963
2293,10913
2294,10953
2295,10990
2296,10996
2297,11024
2298,11030
2299,11031
2300,11043
2301,11028
2302,11040
2303,11029
2304,11041
2305,11039
2306,11027
2307,11032
2308,11087
2309,11084
2310,11094
2311,11059
2312,11096
2313,11052
2314,11046
2315,11058
2316,11071
2317,11049
2318,11077
2319,11070
2320,11073
2321,11044
2322,11097
2323,11054
2324,11053
2325,11087
2326,11151
2327,11168
2328,11171
2329,11175
2330,11168
2331,11181
2332,11180
2333,11191
2334,11243
2335,11219
2336,11257
2337,11217
2338,11230
2339,11223
2340,11242
2341,11202
2342,11213
2343,11221
2344,11196
2345,11221
2346,11211
2347,11235
2348,11236
2349,11195
2350,11247
2351,11237
2352,11201
2353,11238
2354,11232
2355,11235
2356,11255
2357,11243
2358,11214
2359,11208
2360,11265
2361,11259
2362,11292
2363,11279
2364,11282
2365,11306
2366,11306
2367,11328
2368,11317
2369,11311
2370,11311
2371,11320
2372,11314
2373,11315
2374,11335
2375,11338
2376,11330
2377,11361
2378,11404
2379,11393
2380,11386
2381,11422
2382,11414
2383,11393
2384,11434
2385,11410
2386,11410
2387,11438
2388,11413
2389,11384
2390,11391
2391,11415
2392,11426
2393,11410
2394,11413
2395,11404
2396,11435
2397,11401
2398,11383
2399,11459
2400,11462
2401,11469
2402,11479
2403,11521
2404,11540
2405,11506
2406,11508
2407,11550
2408,11523
2409,11531
2410,11524
2411,11543
2412,11509
2413,11546
2414,11507
2415,11581
2416,11584
2417,11555
2418,11567
2419,11560
2420,11562
2421,11565
2422,11577
2423,11570
2424,11563
2425,11581
2426,11627
2427,11595
2428,11602
2429,11648
2430,11620
2431,11632
2432,11645
2433,11608
2434,11655
2435,11609
2436,11612
2437,11701
2438,11679
2439,11697
2440,11699
2441,11693
2442,11732
2443,11730
2444,11729
2445,11732
2446,11727
2447,11722
2448,11755
2449,11749
2450,11742
2451,11753
2452,11761
2453,11768
2454,11767
2455,11772
2456,11774
2457,11778
2458,11774
2459,11831
2460,11844
2461,11792
2462,11841
2463,11790
2464,11813
2465,11828
2466,11834
2467,11813
2468,11806
2469,11843
2470,11820
2471,11785
2472,11824
2473,11819
2474,11866
2475,11857
2476,11866
2477,11859
2478,11881
2479,11906
2480,11899
2481,11906
2482,11903
2483,11904
2484,11921
2485,11892
2486,11929
2487,11936
2488,11936
2489,11943
2490,11961
2491,11966
2492,11957
2493,11961
2494,11981
2495,11978
2496,11980
2497,11971
2498,11993
2499,11989
2500,11992
2501,11990
2502,12006
2503,12027
2504,12035
2505,12030
2506,12045
2507,12038
2508,12055
2509,12055
2510,12063
2511,12055
2512,12053
2513,12069
2514,12062
2515,12048
2516,12062
2517,12050
2518,12087
2519,12098
2520,12083
2521,12076
2522,12081
2523,12088
2524,12082
2525,12085
2526,12095
2527,12104
2528,12106
2529,12103
2530,12122
2531,12120
