id,created_at,type,rating,message,business_branch_id,customer_id
65,2026-02-23 12:46:51.000,REMOTE,4,Solid experience overall.,7,336
66,2025-10-17 02:11:39.000,LOCAL,3,OK but not outstanding.,8,337
67,2026-01-27 01:15:55.000,LOCAL,4,Great service and friendly staff.,8,338
68,2025-06-21 16:09:56.000,LOCAL,5,Excellent service! Highly recommended.,10,339
69,2025-09-10 20:35:36.000,REMOTE,3,"Average experience, nothing special.",9,349
70,2025-09-29 22:33:33.000,REMOTE,4,Solid experience overall.,7,361
71,2025-09-10 05:07:23.000,LOCAL,5,Always a pleasure coming here.,10,364
72,2026-05-05 04:11:20.000,REMOTE,4,Happy with my visit.,8,366
73,2025-07-19 02:46:14.000,REMOTE,4,Happy with my visit.,9,374
74,2025-09-21 10:18:47.000,REMOTE,4,Happy with my visit.,10,378
75,2025-10-11 08:05:25.000,REMOTE,5,Will definitely be back!,9,379
76,2026-02-09 00:52:39.000,REMOTE,5,Will definitely be back!,7,383
77,2025-05-15 21:13:14.000,REMOTE,4,Happy with my visit.,10,390
78,2025-06-29 16:49:40.000,LOCAL,3,Expected a bit more to be honest.,10,399
79,2025-07-19 04:06:57.000,REMOTE,2,Service was quite slow today.,10,402
80,2025-09-05 03:09:37.000,LOCAL,4,Great service and friendly staff.,8,410
81,2026-02-07 19:57:46.000,REMOTE,4,Happy with my visit.,9,415
82,2025-07-31 16:27:23.000,REMOTE,4,"Very good, would come again.",9,420
83,2025-08-19 04:51:44.000,LOCAL,5,Will definitely be back!,9,430
84,2025-05-27 23:10:09.000,REMOTE,5,"Best in the area, no doubt.",8,442
85,2025-10-09 22:12:14.000,REMOTE,3,Expected a bit more to be honest.,7,445
86,2025-09-22 22:06:48.000,REMOTE,4,Happy with my visit.,14,451
87,2025-10-02 10:00:14.000,REMOTE,1,Completely disappointed.,14,455
88,2026-03-20 21:51:55.000,LOCAL,3,"Average experience, nothing special.",15,461
89,2025-06-06 06:33:43.000,LOCAL,5,Excellent service! Highly recommended.,12,468
90,2025-05-21 16:04:54.000,LOCAL,3,"Average experience, nothing special.",16,473
91,2026-03-26 19:52:30.000,LOCAL,3,Expected a bit more to be honest.,11,475
92,2025-10-17 13:22:24.000,LOCAL,5,Always a pleasure coming here.,13,478
93,2025-07-08 01:34:11.000,REMOTE,3,"Decent, but could improve.",14,479
94,2025-05-11 15:00:27.000,LOCAL,5,Will definitely be back!,14,480
95,2026-01-10 00:27:15.000,REMOTE,2,Product did not meet my expectations.,16,483
96,2026-02-17 12:37:42.000,REMOTE,3,Expected a bit more to be honest.,11,488
97,2025-12-12 15:15:49.000,REMOTE,2,Staff could be more attentive.,12,494
98,2026-03-15 17:17:06.000,LOCAL,4,Solid experience overall.,15,498
99,2025-06-18 03:50:18.000,REMOTE,1,Will not return.,11,502
100,2025-07-12 02:07:43.000,LOCAL,5,Will definitely be back!,14,504
101,2026-03-22 19:21:11.000,LOCAL,3,Expected a bit more to be honest.,16,510
102,2025-10-05 08:50:06.000,LOCAL,4,"Very good, would come again.",14,512
103,2025-07-07 09:10:25.000,LOCAL,5,Always a pleasure coming here.,11,520
104,2025-06-19 02:48:12.000,REMOTE,3,Expected a bit more to be honest.,14,521
105,2025-08-22 02:47:22.000,LOCAL,2,Product did not meet my expectations.,15,523
106,2026-03-11 16:29:31.000,REMOTE,1,Will not return.,15,534
107,2026-01-07 05:29:16.000,LOCAL,1,Not what I expected at all.,13,535
108,2025-10-19 03:21:36.000,REMOTE,4,Solid experience overall.,12,540
109,2025-06-14 02:54:15.000,LOCAL,4,Great service and friendly staff.,16,543
110,2025-07-28 00:48:26.000,REMOTE,5,"Best in the area, no doubt.",15,548
111,2025-06-21 03:35:19.000,REMOTE,5,Excellent service! Highly recommended.,11,551
112,2026-03-22 08:04:16.000,REMOTE,4,Happy with my visit.,16,552
113,2026-03-25 03:38:35.000,REMOTE,3,"Average experience, nothing special.",11,553
114,2025-07-15 19:20:29.000,LOCAL,4,Solid experience overall.,11,554
115,2026-03-07 17:40:29.000,REMOTE,2,Product did not meet my expectations.,14,558
116,2026-02-09 18:12:13.000,REMOTE,1,Will not return.,14,560
117,2025-06-21 10:38:23.000,LOCAL,5,Will definitely be back!,15,565
118,2026-01-20 08:07:23.000,LOCAL,5,Excellent service! Highly recommended.,12,570
119,2026-04-23 21:05:53.000,REMOTE,5,Excellent service! Highly recommended.,15,574
120,2025-05-26 22:04:50.000,LOCAL,4,Happy with my visit.,12,576
121,2025-07-15 17:00:32.000,LOCAL,1,Very poor service.,16,578
122,2026-01-10 17:34:38.000,REMOTE,4,Happy with my visit.,11,585
123,2025-10-06 11:14:58.000,REMOTE,1,Not what I expected at all.,13,586
124,2025-12-28 20:28:22.000,REMOTE,5,Excellent service! Highly recommended.,13,587
125,2025-08-31 21:45:30.000,LOCAL,4,"Very good, would come again.",13,591
126,2025-08-17 00:49:10.000,REMOTE,5,Excellent service! Highly recommended.,14,596
127,2025-06-04 01:53:26.000,LOCAL,1,Will not return.,12,597
128,2025-10-19 08:43:50.000,REMOTE,2,Service was quite slow today.,13,602
129,2025-07-19 01:18:02.000,REMOTE,4,Solid experience overall.,14,607
130,2025-10-05 23:16:00.000,REMOTE,5,"Best in the area, no doubt.",13,608
131,2026-01-26 07:55:45.000,LOCAL,1,Very poor service.,14,612
132,2025-10-25 14:13:08.000,REMOTE,4,Solid experience overall.,12,614
133,2025-07-10 20:19:12.000,REMOTE,5,Always a pleasure coming here.,15,624
134,2025-12-05 01:46:58.000,LOCAL,4,Happy with my visit.,16,627
135,2025-10-16 13:10:47.000,REMOTE,2,Service was quite slow today.,14,628
136,2025-09-17 14:46:33.000,LOCAL,5,Will definitely be back!,12,631
137,2025-05-18 03:51:06.000,LOCAL,4,Happy with my visit.,14,636
138,2025-07-04 14:48:40.000,REMOTE,4,Solid experience overall.,11,649
139,2026-02-13 12:29:13.000,REMOTE,5,"Best in the area, no doubt.",14,669
140,2026-04-23 01:51:14.000,LOCAL,4,Great service and friendly staff.,12,681
141,2026-01-17 16:45:14.000,LOCAL,3,Expected a bit more to be honest.,12,686
142,2026-02-28 17:15:44.000,REMOTE,3,"Decent, but could improve.",11,687
143,2025-07-14 04:07:50.000,LOCAL,4,"Very good, would come again.",13,694
144,2025-10-27 12:35:41.000,REMOTE,3,Expected a bit more to be honest.,11,695
145,2025-12-11 09:15:23.000,LOCAL,4,Great service and friendly staff.,14,700
146,2025-05-18 17:01:19.000,LOCAL,2,Service was quite slow today.,12,710
147,2025-10-09 03:26:28.000,LOCAL,2,Service was quite slow today.,13,716
148,2025-11-13 07:10:10.000,REMOTE,5,Always a pleasure coming here.,18,734
149,2025-12-21 03:46:40.000,REMOTE,5,Excellent service! Highly recommended.,17,746
150,2025-07-03 03:51:38.000,REMOTE,5,"Best in the area, no doubt.",18,747
151,2025-06-17 19:43:46.000,LOCAL,2,Service was quite slow today.,17,751
152,2026-01-17 16:12:53.000,REMOTE,4,Solid experience overall.,17,753
153,2025-10-21 15:14:31.000,LOCAL,4,Solid experience overall.,17,756
154,2025-11-08 00:34:11.000,REMOTE,3,"Decent, but could improve.",17,761
155,2025-10-11 23:49:04.000,LOCAL,2,Product did not meet my expectations.,18,762
156,2025-10-20 14:30:59.000,REMOTE,5,Excellent service! Highly recommended.,17,780
157,2025-08-30 04:13:06.000,LOCAL,2,Product did not meet my expectations.,17,782
158,2025-12-19 07:55:00.000,REMOTE,3,OK but not outstanding.,19,789
159,2026-04-05 16:44:24.000,LOCAL,4,Solid experience overall.,19,791
160,2025-10-19 13:09:18.000,REMOTE,3,OK but not outstanding.,19,793
161,2026-03-13 19:58:30.000,REMOTE,3,Expected a bit more to be honest.,19,794
162,2025-11-30 22:21:54.000,REMOTE,4,Great service and friendly staff.,19,798
163,2025-08-22 15:12:18.000,LOCAL,2,Product did not meet my expectations.,22,834
164,2026-01-08 14:51:29.000,REMOTE,4,"Very good, would come again.",23,838
165,2025-09-07 22:59:13.000,REMOTE,3,"Average experience, nothing special.",23,845
166,2025-08-10 00:08:06.000,LOCAL,5,Excellent service! Highly recommended.,21,847
167,2025-12-14 04:28:16.000,LOCAL,4,"Very good, would come again.",21,851
168,2026-01-29 00:37:16.000,REMOTE,3,"Decent, but could improve.",21,854
169,2026-01-08 05:13:06.000,LOCAL,4,Solid experience overall.,23,855
170,2025-12-27 21:22:14.000,REMOTE,5,Always a pleasure coming here.,23,867
171,2025-09-27 11:43:25.000,LOCAL,3,OK but not outstanding.,23,871
172,2026-03-04 04:26:58.000,LOCAL,4,"Very good, would come again.",23,872
173,2025-09-07 20:47:08.000,LOCAL,3,Expected a bit more to be honest.,21,873
174,2025-12-02 11:07:43.000,REMOTE,5,Always a pleasure coming here.,20,876
175,2026-03-24 01:05:41.000,REMOTE,3,OK but not outstanding.,23,883
176,2026-01-08 13:13:26.000,LOCAL,4,"Very good, would come again.",24,899
177,2026-02-01 00:20:45.000,LOCAL,5,Excellent service! Highly recommended.,24,911
178,2025-11-14 14:03:52.000,LOCAL,1,Very poor service.,25,918
179,2025-10-28 11:44:23.000,REMOTE,4,Great service and friendly staff.,27,919
180,2025-07-24 13:56:50.000,LOCAL,4,Great service and friendly staff.,26,925
181,2025-06-06 11:12:05.000,REMOTE,5,Always a pleasure coming here.,27,926
182,2025-09-26 09:41:31.000,LOCAL,5,Always a pleasure coming here.,25,938
183,2025-09-27 12:53:10.000,LOCAL,5,Will definitely be back!,26,939
184,2025-12-13 14:44:45.000,REMOTE,4,Great service and friendly staff.,25,947
185,2026-03-20 10:02:29.000,REMOTE,3,"Average experience, nothing special.",26,949
186,2026-01-29 23:43:16.000,LOCAL,5,Will definitely be back!,25,953
187,2026-02-22 11:49:00.000,LOCAL,5,Will definitely be back!,25,956
188,2026-04-27 19:03:34.000,REMOTE,3,Expected a bit more to be honest.,27,959
189,2025-06-25 15:10:08.000,REMOTE,5,Excellent service! Highly recommended.,27,963
190,2026-02-03 04:48:02.000,LOCAL,4,Solid experience overall.,26,968
191,2025-12-21 09:56:28.000,LOCAL,5,"Best in the area, no doubt.",25,972
192,2025-08-16 19:09:18.000,REMOTE,4,"Very good, would come again.",27,973
193,2026-04-30 23:44:28.000,LOCAL,1,Completely disappointed.,27,974
194,2025-07-23 21:12:34.000,LOCAL,5,"Best in the area, no doubt.",26,984
195,2025-09-05 19:46:04.000,LOCAL,4,Happy with my visit.,26,992
196,2025-12-07 20:46:17.000,LOCAL,5,Will definitely be back!,26,1000
197,2026-01-22 06:38:36.000,LOCAL,2,Product did not meet my expectations.,28,1014
198,2025-09-07 20:47:38.000,REMOTE,3,Expected a bit more to be honest.,28,1016
199,2025-10-22 22:06:49.000,LOCAL,4,Great service and friendly staff.,28,1017
200,2026-03-08 00:32:00.000,REMOTE,1,Very poor service.,28,1023
201,2025-08-03 10:56:25.000,LOCAL,2,Service was quite slow today.,28,1033
202,2025-05-09 02:19:23.000,REMOTE,4,Solid experience overall.,28,1038
203,2025-10-30 10:58:26.000,REMOTE,3,OK but not outstanding.,29,1040
204,2026-03-13 19:42:17.000,LOCAL,4,Happy with my visit.,29,1041
205,2025-10-30 23:15:36.000,LOCAL,5,"Best in the area, no doubt.",29,1042
206,2026-01-21 23:02:23.000,LOCAL,2,Staff could be more attentive.,29,1043
207,2025-06-24 19:06:53.000,REMOTE,4,"Very good, would come again.",29,1044
208,2026-04-02 18:51:00.000,LOCAL,4,Solid experience overall.,30,1047
209,2025-12-31 06:19:22.000,REMOTE,1,Very poor service.,30,1058
210,2026-01-24 18:40:01.000,LOCAL,4,Great service and friendly staff.,30,1061
211,2025-12-14 19:03:48.000,LOCAL,3,OK but not outstanding.,29,1069
212,2025-10-28 04:55:11.000,REMOTE,5,Will definitely be back!,29,1070
213,2025-08-01 01:52:58.000,REMOTE,1,Will not return.,30,1072
214,2026-03-19 23:59:41.000,LOCAL,5,Excellent service! Highly recommended.,29,1076
215,2025-12-28 13:57:10.000,LOCAL,4,Great service and friendly staff.,29,1080
216,2025-12-15 19:29:27.000,REMOTE,4,"Very good, would come again.",29,1100
217,2026-01-22 20:05:46.000,REMOTE,3,"Decent, but could improve.",30,1102
218,2025-11-23 00:28:13.000,REMOTE,4,Great service and friendly staff.,30,1105
219,2025-07-01 06:48:27.000,LOCAL,3,OK but not outstanding.,31,1112
220,2026-04-19 22:48:58.000,REMOTE,2,Disappointing visit.,31,1117
221,2025-07-27 15:06:37.000,LOCAL,1,Completely disappointed.,31,1118
222,2026-02-09 09:29:05.000,REMOTE,4,Happy with my visit.,31,1130
223,2025-12-18 06:05:32.000,REMOTE,4,Solid experience overall.,31,1145
224,2026-05-06 16:39:47.000,LOCAL,4,Great service and friendly staff.,31,1148
225,2026-04-28 08:55:57.000,REMOTE,5,Always a pleasure coming here.,31,1149
226,2025-09-18 23:59:41.000,REMOTE,3,Expected a bit more to be honest.,31,1151
227,2026-03-30 08:16:09.000,LOCAL,5,"Best in the area, no doubt.",31,1152
228,2026-03-12 16:20:16.000,REMOTE,4,Great service and friendly staff.,31,1156
229,2025-12-27 00:56:51.000,REMOTE,5,Excellent service! Highly recommended.,31,1161
230,2026-01-28 18:07:32.000,LOCAL,5,Will definitely be back!,31,1164
231,2025-12-21 15:03:44.000,LOCAL,4,Great service and friendly staff.,35,1173
232,2025-07-09 21:23:14.000,REMOTE,5,"Best in the area, no doubt.",33,1176
233,2026-03-25 19:11:17.000,REMOTE,1,Not what I expected at all.,32,1182
234,2026-01-25 05:49:50.000,REMOTE,1,Will not return.,32,1186
235,2026-05-02 11:58:52.000,LOCAL,2,Service was quite slow today.,35,1192
236,2025-07-05 10:17:00.000,LOCAL,5,Will definitely be back!,41,1214
237,2025-11-16 03:33:11.000,LOCAL,4,Happy with my visit.,38,1221
238,2025-05-24 08:12:44.000,LOCAL,4,"Very good, would come again.",39,1227
239,2025-06-24 15:19:43.000,REMOTE,2,Disappointing visit.,40,1249
240,2025-06-11 09:59:25.000,LOCAL,4,Solid experience overall.,41,1255
241,2025-05-16 00:06:42.000,REMOTE,5,Will definitely be back!,36,1257
242,2025-05-22 19:57:06.000,LOCAL,2,Product did not meet my expectations.,38,1258
243,2025-08-31 06:33:28.000,REMOTE,4,Solid experience overall.,37,1261
244,2026-03-25 09:59:54.000,REMOTE,5,Excellent service! Highly recommended.,39,1262
245,2025-08-05 09:58:32.000,LOCAL,5,Excellent service! Highly recommended.,41,1269
246,2026-01-08 08:31:43.000,REMOTE,1,Very poor service.,40,1275
247,2025-08-24 08:03:58.000,REMOTE,3,"Decent, but could improve.",41,1282
248,2025-11-26 01:03:15.000,REMOTE,4,Happy with my visit.,39,1285
249,2025-08-19 12:04:58.000,LOCAL,4,Solid experience overall.,37,1287
250,2025-12-04 00:32:50.000,LOCAL,4,"Very good, would come again.",42,1292
251,2026-03-21 01:26:38.000,REMOTE,5,Always a pleasure coming here.,39,1295
252,2025-06-07 03:33:33.000,LOCAL,2,Service was quite slow today.,39,1296
253,2025-05-28 16:45:49.000,LOCAL,4,Happy with my visit.,37,1299
254,2026-05-02 06:37:38.000,REMOTE,5,Will definitely be back!,39,1300
255,2025-06-05 17:00:07.000,REMOTE,3,Expected a bit more to be honest.,36,1302
256,2026-03-22 15:27:37.000,REMOTE,2,Staff could be more attentive.,39,1311
257,2025-09-10 05:19:38.000,REMOTE,4,Solid experience overall.,39,1323
258,2025-11-27 02:22:17.000,REMOTE,5,Excellent service! Highly recommended.,37,1334
259,2025-07-29 00:13:20.000,REMOTE,3,OK but not outstanding.,38,1340
260,2025-09-23 04:45:59.000,LOCAL,4,Solid experience overall.,38,1344
261,2026-05-05 13:35:05.000,REMOTE,2,Staff could be more attentive.,42,1352
262,2025-12-27 04:24:44.000,LOCAL,4,Great service and friendly staff.,36,1356
263,2025-08-09 02:44:10.000,REMOTE,3,OK but not outstanding.,40,1364
264,2026-01-02 05:55:15.000,LOCAL,3,Expected a bit more to be honest.,39,1368
265,2025-10-03 23:09:14.000,REMOTE,4,Great service and friendly staff.,37,1380
266,2025-10-20 15:39:16.000,LOCAL,1,Not what I expected at all.,41,1383
267,2025-07-10 21:26:48.000,REMOTE,4,Great service and friendly staff.,42,1385
268,2026-01-13 13:56:28.000,REMOTE,5,Excellent service! Highly recommended.,37,1386
269,2025-10-15 22:32:46.000,REMOTE,3,Expected a bit more to be honest.,37,1391
270,2025-10-27 04:29:29.000,LOCAL,4,Happy with my visit.,42,1401
271,2026-04-20 10:45:13.000,REMOTE,4,Great service and friendly staff.,42,1403
272,2025-11-21 04:46:41.000,LOCAL,4,Great service and friendly staff.,42,1407
273,2025-11-07 23:47:24.000,REMOTE,4,Great service and friendly staff.,38,1409
274,2026-03-29 00:35:24.000,REMOTE,4,Great service and friendly staff.,39,1415
275,2025-10-31 19:26:39.000,REMOTE,4,Great service and friendly staff.,40,1426
276,2025-07-30 15:00:40.000,LOCAL,2,Disappointing visit.,42,1430
277,2025-09-06 04:26:12.000,LOCAL,2,Product did not meet my expectations.,39,1433
278,2026-04-27 04:07:00.000,LOCAL,5,"Best in the area, no doubt.",39,1436
279,2025-09-26 15:28:50.000,REMOTE,3,OK but not outstanding.,41,1441
280,2026-02-28 07:55:37.000,LOCAL,5,Always a pleasure coming here.,37,1445
281,2025-07-02 12:44:59.000,LOCAL,5,"Best in the area, no doubt.",40,1448
282,2025-10-30 22:32:20.000,REMOTE,4,Happy with my visit.,36,1452
283,2025-11-30 10:10:02.000,LOCAL,2,Service was quite slow today.,40,1453
284,2025-07-10 16:33:34.000,REMOTE,5,"Best in the area, no doubt.",40,1464
285,2025-08-01 19:07:27.000,LOCAL,5,Will definitely be back!,41,1468
286,2026-02-21 18:55:42.000,REMOTE,5,Always a pleasure coming here.,40,1473
287,2026-03-27 23:10:11.000,LOCAL,3,Expected a bit more to be honest.,39,1477
288,2026-02-09 20:40:50.000,REMOTE,2,Product did not meet my expectations.,38,1480
289,2026-04-13 20:34:06.000,REMOTE,3,"Decent, but could improve.",36,1489
290,2025-07-23 17:39:04.000,LOCAL,2,Staff could be more attentive.,41,1491
291,2025-08-03 01:49:15.000,REMOTE,4,Happy with my visit.,37,1496
292,2026-03-22 23:11:09.000,LOCAL,5,Excellent service! Highly recommended.,36,1497
293,2026-04-08 09:45:31.000,LOCAL,5,Excellent service! Highly recommended.,37,1500
294,2025-05-26 00:29:01.000,REMOTE,5,Will definitely be back!,43,1512
295,2025-09-07 08:40:15.000,LOCAL,5,Always a pleasure coming here.,44,1513
296,2025-11-09 03:04:24.000,REMOTE,4,"Very good, would come again.",43,1516
297,2026-01-22 03:26:45.000,LOCAL,5,"Best in the area, no doubt.",44,1517
298,2025-09-10 21:15:52.000,REMOTE,3,OK but not outstanding.,43,1529
299,2026-01-03 20:28:53.000,REMOTE,3,Expected a bit more to be honest.,44,1533
300,2026-01-11 19:19:16.000,LOCAL,4,Happy with my visit.,43,1534
301,2025-06-25 09:23:50.000,REMOTE,2,Staff could be more attentive.,45,1557
302,2026-02-20 04:55:56.000,REMOTE,1,Completely disappointed.,45,1562
303,2025-08-14 19:52:13.000,LOCAL,1,Completely disappointed.,45,1564
304,2025-10-29 13:29:48.000,LOCAL,1,Completely disappointed.,45,1565
305,2025-08-04 00:27:46.000,LOCAL,2,Disappointing visit.,45,1568
306,2026-04-03 23:39:23.000,LOCAL,2,Service was quite slow today.,45,1570
307,2025-11-27 09:31:10.000,LOCAL,3,"Decent, but could improve.",45,1573
308,2026-03-13 01:02:49.000,REMOTE,2,Staff could be more attentive.,45,1574
309,2026-05-04 18:41:33.000,LOCAL,4,Solid experience overall.,45,1575
310,2026-04-01 14:03:00.000,REMOTE,4,Great service and friendly staff.,45,1576
311,2025-06-27 05:45:42.000,LOCAL,5,"Best in the area, no doubt.",46,1584
312,2026-03-07 20:49:43.000,REMOTE,4,Great service and friendly staff.,46,1586
313,2025-07-16 08:25:12.000,REMOTE,2,Disappointing visit.,46,1595
314,2026-02-23 05:14:34.000,REMOTE,3,Expected a bit more to be honest.,46,1604
315,2025-11-04 16:51:36.000,LOCAL,1,Will not return.,46,1614
316,2025-09-12 04:00:14.000,LOCAL,5,"Best in the area, no doubt.",47,1618
317,2025-09-27 18:56:17.000,LOCAL,2,Product did not meet my expectations.,46,1622
318,2026-01-02 19:51:48.000,REMOTE,3,"Average experience, nothing special.",47,1625
319,2026-03-03 04:06:47.000,LOCAL,2,Disappointing visit.,49,1627
320,2025-11-03 07:29:18.000,REMOTE,1,Not what I expected at all.,48,1632
321,2025-07-16 19:47:24.000,LOCAL,4,Happy with my visit.,46,1638
322,2026-04-17 14:53:44.000,REMOTE,5,Excellent service! Highly recommended.,49,1640
323,2026-02-07 18:30:08.000,LOCAL,4,Happy with my visit.,49,1641
324,2025-10-29 07:09:03.000,REMOTE,5,Always a pleasure coming here.,46,1645
325,2026-04-30 18:48:05.000,REMOTE,3,Expected a bit more to be honest.,47,1646
326,2025-06-22 02:13:30.000,REMOTE,3,OK but not outstanding.,49,1652
327,2025-09-04 13:19:14.000,REMOTE,5,"Best in the area, no doubt.",49,1654
328,2026-02-13 19:46:58.000,REMOTE,5,Always a pleasure coming here.,48,1658
329,2026-03-03 16:21:35.000,LOCAL,4,"Very good, would come again.",48,1661
330,2025-08-12 09:29:33.000,LOCAL,5,Excellent service! Highly recommended.,47,1670
331,2025-10-15 02:19:00.000,REMOTE,2,Staff could be more attentive.,46,1676
332,2025-06-30 09:30:52.000,LOCAL,3,"Decent, but could improve.",47,1677
333,2025-05-29 19:40:44.000,REMOTE,1,Completely disappointed.,47,1681
334,2026-01-22 22:01:31.000,LOCAL,4,Great service and friendly staff.,47,1685
335,2025-05-30 09:26:47.000,LOCAL,4,Solid experience overall.,46,1686
336,2025-11-26 02:21:35.000,LOCAL,3,Expected a bit more to be honest.,49,1697
337,2025-11-15 11:40:48.000,REMOTE,4,Great service and friendly staff.,46,1703
338,2025-07-17 14:27:57.000,REMOTE,1,Will not return.,46,1706
339,2025-09-18 04:27:16.000,LOCAL,4,Solid experience overall.,46,1718
340,2026-03-31 10:49:27.000,REMOTE,3,"Average experience, nothing special.",48,1720
341,2025-07-24 00:59:37.000,REMOTE,5,Always a pleasure coming here.,46,1721
342,2025-05-21 19:22:28.000,REMOTE,5,Excellent service! Highly recommended.,46,1723
343,2025-09-09 18:47:05.000,REMOTE,2,Disappointing visit.,49,1728
344,2026-04-20 10:31:11.000,LOCAL,5,Excellent service! Highly recommended.,47,1729
345,2026-02-10 12:04:31.000,LOCAL,5,Will definitely be back!,48,1730
346,2025-08-01 01:24:58.000,REMOTE,4,Happy with my visit.,46,1731
347,2025-08-29 21:02:45.000,LOCAL,3,"Decent, but could improve.",49,1733
