id,reference,created_at,total,transaction_id,integration_id,business_id,business_branch_id
54,TKT-D85B0AD3,2026-05-05 22:09:00.000,169.93,,1,408,1091
55,TKT-2AFA492A,2026-03-14 23:07:51.000,754.26,,1,408,1090
56,TKT-3293DDEC,2026-04-07 17:03:23.000,533.26,,1,408,1091
57,TKT-8D415A8F,2025-12-27 14:50:16.000,159.27,869823,1,408,1092
58,TKT-6E236043,2025-09-20 13:35:02.000,174.62,869020,1,408,1091
59,TKT-2BDDA767,2025-08-30 02:45:10.000,52.19,1040793,4,491,1291
60,TKT-5FD37C0A,2025-08-20 23:59:53.000,108.04,1039077,4,491,1289
61,TKT-76EDA4C9,2025-11-24 16:13:21.000,512.11,1038943,4,491,1288
62,TKT-6C956058,2026-01-07 19:01:30.000,224.15,1040118,4,491,1289
63,TKT-6274983C,2025-10-24 10:41:58.000,709.56,,4,491,1289
64,TKT-27D9E534,2026-05-08 03:58:21.000,191.57,,4,491,1289
65,TKT-534681FE,2026-03-13 13:28:41.000,331.53,1038888,4,491,1288
66,TKT-8942F512,2025-11-23 20:33:40.000,662.02,1039887,4,491,1290
67,TKT-EB581150,2026-01-09 11:07:36.000,526.04,,4,491,1290
68,TKT-7546A84D,2025-10-14 20:11:22.000,143.94,1040580,4,491,1290
69,TKT-822BB783,2025-08-18 13:57:16.000,307.67,1040079,4,491,1289
70,TKT-49D23E5F,2025-09-24 17:54:51.000,196.47,1039789,4,491,1291
71,TKT-E20E9325,2026-02-26 13:06:12.000,411.75,,4,491,1291
72,TKT-E832DC67,2025-09-01 19:54:34.000,289.68,1039359,4,491,1291
73,TKT-D0F59C60,2026-04-26 15:13:27.000,568.11,,4,491,1290
74,TKT-9BA1A7A1,2025-11-10 18:15:08.000,413.39,1040940,4,491,1289
75,TKT-DE7B46F6,2026-01-04 01:05:08.000,596.2,,4,491,1290
76,TKT-F0464125,2025-12-26 02:59:11.000,349.0,1040029,4,491,1288
77,TKT-79C87893,2025-08-08 10:10:19.000,471.02,,4,491,1288
78,TKT-FB6532F5,2025-10-19 17:22:40.000,601.92,820408,1,377,1023
79,TKT-692C96CD,2026-05-01 16:46:10.000,183.58,821782,1,377,1023
80,TKT-4E6FE094,2025-12-24 11:41:09.000,268.07,822172,1,377,1023
81,TKT-3BD6C9E4,2026-02-10 20:58:02.000,231.79,,1,377,1023
82,TKT-0509CC29,2025-09-11 19:02:37.000,118.89,821727,1,377,1023
83,TKT-83BA32E9,2026-02-06 10:00:52.000,433.03,,1,377,1023
84,TKT-93E11791,2025-08-26 09:47:57.000,481.13,,1,377,1023
85,TKT-C84890AF,2025-08-11 18:56:12.000,547.97,820803,1,377,1023
86,TKT-2764B137,2026-02-03 20:38:39.000,204.34,822008,1,377,1023
87,TKT-4D697675,2026-01-21 04:51:04.000,365.11,,1,377,1023
88,TKT-09C3B54D,2025-10-02 14:19:41.000,256.35,820984,1,377,1023
89,TKT-2C95D64C,2025-11-24 08:18:50.000,466.46,,1,377,1023
90,TKT-4FCBF4CB,2025-08-27 10:19:17.000,157.11,820711,1,377,1023
91,TKT-B0984911,2025-07-31 01:43:44.000,122.78,,1,377,1023
92,TKT-183EDE91,2026-02-27 14:51:22.000,518.52,820276,1,377,1023
93,TKT-025C4864,2026-04-07 20:34:14.000,347.67,821654,1,377,1023
94,TKT-98DFB606,2025-12-04 21:54:50.000,192.17,821263,1,377,1023
95,TKT-5B4D5106,2026-03-24 18:03:35.000,215.56,822085,1,377,1023
96,TKT-C477A1A5,2025-12-16 02:50:18.000,108.46,,1,377,1023
97,TKT-4ABC4B2B,2025-08-14 14:02:51.000,398.67,820189,1,377,1023
98,TKT-3DCC3B3A,2025-07-28 15:33:46.000,258.44,820857,1,377,1023
99,TKT-B8D601B9,2026-03-19 12:11:40.000,260.41,822178,1,377,1023
100,TKT-69F67D2B,2025-09-02 20:53:19.000,78.24,822289,1,377,1023
101,TKT-634CEC93,2025-10-23 00:09:50.000,170.88,630048,1,281,788
102,TKT-4CC05E1E,2026-02-28 23:29:23.000,459.11,628652,1,281,785
103,TKT-7A0F208A,2025-10-08 01:55:08.000,213.8,,1,281,790
104,TKT-B8F44C7E,2026-03-08 04:46:34.000,538.39,629006,1,281,790
105,TKT-2DB5B79B,2026-01-09 14:07:15.000,244.0,628917,1,281,787
106,TKT-6589735E,2025-11-16 12:42:08.000,423.18,,1,281,790
107,TKT-CA6F72FE,2026-05-07 05:41:53.000,77.58,,1,281,787
108,TKT-8212CEC1,2026-03-03 07:02:42.000,24.7,629519,1,281,789
109,TKT-A968046F,2025-10-23 23:19:44.000,298.91,629969,1,281,789
110,TKT-1B327F5E,2025-10-11 06:57:09.000,47.6,629324,1,281,790
111,TKT-3B6E0FF2,2026-01-10 06:45:37.000,60.87,629303,1,281,787
112,TKT-08E0BB5B,2025-07-23 20:07:10.000,443.63,,1,281,785
113,TKT-25A8323C,2025-12-08 20:58:22.000,701.18,629269,1,281,791
114,TKT-AF82F375,2025-12-22 04:04:55.000,580.42,627917,1,281,790
115,TKT-D7F8FA63,2025-09-01 04:06:57.000,73.01,629326,1,281,786
116,TKT-46E65BFE,2025-08-13 12:42:49.000,529.86,,1,281,791
117,TKT-F26CB6D8,2026-02-22 21:59:01.000,192.83,629853,1,281,787
118,TKT-F62769DF,2025-11-03 14:59:05.000,648.46,630092,1,281,785
119,TKT-5F93DA33,2025-12-09 01:58:09.000,368.65,628941,1,281,786
120,TKT-D3B4F818,2025-11-25 06:08:03.000,165.33,,1,281,790
121,TKT-7BF62DC5,2025-09-25 03:58:52.000,214.61,629438,1,281,786
122,TKT-4F68892D,2026-03-26 01:42:57.000,423.24,629171,1,281,791
123,TKT-9FDB0E1A,2025-12-13 20:07:31.000,402.49,628272,1,281,788
124,TKT-CB687EE2,2025-09-27 10:43:10.000,206.21,630083,1,281,786
125,TKT-64539793,2025-07-19 00:18:15.000,363.52,628471,1,281,791
126,TKT-305D632F,2026-03-19 13:14:48.000,266.03,630357,1,281,790
127,TKT-796C8E3B,2026-01-10 04:30:44.000,555.98,,1,281,788
128,TKT-6015C171,2026-04-07 22:07:25.000,179.12,630024,1,281,791
129,TKT-157DAB01,2025-07-14 00:29:30.000,150.63,629474,1,281,787
130,TKT-C6E3DDE7,2026-03-01 00:25:40.000,594.24,629791,1,281,791
131,TKT-7EFFDA0B,2025-11-27 15:35:05.000,459.31,629300,1,281,788
132,TKT-D609AAFF,2025-11-27 22:10:49.000,104.04,,1,281,787
133,TKT-8A6B9EA4,2026-05-05 15:47:20.000,128.76,629832,1,281,787
134,TKT-27D10A74,2026-05-06 02:02:09.000,597.4,628781,1,281,787
135,TKT-0062B93D,2026-04-15 01:28:50.000,465.89,629569,1,281,786
136,TKT-D5727A05,2025-08-25 18:43:12.000,235.78,,1,281,785
137,TKT-D302D347,2026-03-24 04:18:56.000,155.68,,1,281,790
138,TKT-3917FA80,2025-12-28 07:11:27.000,18.08,629278,1,281,788
139,TKT-34E46C9E,2026-02-04 08:26:19.000,206.45,,1,281,791
140,TKT-5E4707B2,2026-02-22 19:13:07.000,455.11,628731,1,281,788
141,TKT-54E006EE,2025-07-24 11:03:02.000,522.49,381899,4,180,480
142,TKT-F66B61FB,2025-07-20 20:13:03.000,252.07,381722,4,180,480
143,TKT-0A09DED9,2025-11-15 12:02:10.000,270.78,382125,4,180,480
144,TKT-A86C841B,2025-12-13 11:19:19.000,674.07,,4,180,480
145,TKT-9A119D54,2025-12-14 05:36:55.000,508.14,382342,4,180,480
146,TKT-36C72B3F,2025-11-30 11:36:04.000,891.06,,4,180,480
147,TKT-833790D4,2025-10-23 08:06:25.000,267.25,,4,180,480
148,TKT-15EFCC8C,2026-03-16 05:35:29.000,20.7,,4,180,480
149,TKT-04CB0416,2025-10-23 10:45:27.000,331.28,381934,4,180,480
150,TKT-6A020681,2025-11-22 10:02:51.000,526.45,,4,180,480
151,TKT-A0D08A99,2025-11-30 07:49:52.000,339.98,383386,4,180,480
152,TKT-55AF84A3,2025-09-20 22:33:00.000,408.81,383500,4,180,480
153,TKT-C0EF0B41,2025-08-11 01:53:56.000,344.31,382726,4,180,480
154,TKT-ACCC9728,2025-07-24 07:53:52.000,337.9,,4,180,480
155,TKT-FFACC8FE,2026-05-02 07:32:27.000,398.71,,4,180,480
156,TKT-7DE37C34,2026-02-27 22:13:58.000,227.0,382076,4,180,480
157,TKT-47FCBE17,2026-04-27 14:42:55.000,693.59,383252,4,180,480
158,TKT-FCBB944D,2026-02-06 09:21:01.000,132.33,382590,4,180,480
159,TKT-E23E7258,2026-04-23 16:02:53.000,534.49,381887,4,180,480
160,TKT-D80B3880,2026-02-19 01:22:24.000,481.33,,4,180,480
161,TKT-B9F3EEAB,2026-02-17 22:44:23.000,385.58,382379,4,180,480
162,TKT-58D318C5,2025-11-04 22:59:58.000,283.9,382290,4,180,480
163,TKT-979C6DBD,2026-05-04 16:54:39.000,111.3,382553,4,180,480
164,TKT-CFE91E20,2025-11-25 21:32:11.000,251.71,,4,180,480
165,TKT-B8C4CB8F,2026-04-22 21:34:37.000,32.31,383161,4,180,480
166,TKT-083AE2AD,2026-05-03 02:25:36.000,528.74,381774,4,180,480
167,TKT-BCAEC35F,2026-02-23 14:34:02.000,301.99,383739,4,180,480
168,TKT-07894B7D,2025-09-07 06:09:43.000,723.27,382045,4,180,480
169,TKT-612788D7,2025-12-03 14:37:20.000,393.8,382225,4,180,480
170,TKT-C4E4BD23,2025-10-25 01:59:15.000,123.3,382333,4,180,480
171,TKT-962B2F0E,2026-04-18 11:31:46.000,53.54,382991,4,180,480
172,TKT-22E01411,2025-07-24 11:10:41.000,399.0,382631,4,180,480
173,TKT-D4C6F027,2026-02-28 13:13:18.000,24.6,,4,180,480
174,TKT-9D8D66AF,2025-10-07 05:15:11.000,196.88,383377,4,180,480
175,TKT-83F934E1,2025-09-28 02:45:02.000,215.42,382696,4,180,480
176,TKT-1AEC97ED,2026-01-07 08:45:00.000,296.8,383300,4,180,480
177,TKT-D5840D98,2025-12-03 15:07:02.000,413.27,382933,4,180,480
178,TKT-BCA565F7,2025-12-21 10:05:28.000,564.13,382240,4,180,480
179,TKT-603ED7D3,2026-01-04 18:09:49.000,248.58,382035,4,180,480
180,TKT-526CDF99,2025-10-02 18:17:57.000,326.04,382300,4,180,480
181,TKT-13ECBB39,2025-08-21 04:17:50.000,132.81,,4,180,480
182,TKT-0F384245,2025-07-24 16:40:00.000,308.5,383728,4,180,480
183,TKT-60DD39B1,2025-11-07 10:18:23.000,536.3,382536,4,180,480
184,TKT-D0EED8A4,2026-03-14 08:56:34.000,14.58,382908,4,180,480
185,TKT-584009B4,2025-08-05 17:01:15.000,34.52,,4,180,480
186,TKT-CD2E0E4C,2025-11-06 11:56:40.000,251.06,383238,4,180,480
187,TKT-906950C2,2025-09-23 07:00:30.000,116.16,382810,4,180,480
188,TKT-80CE1C4D,2025-12-01 17:00:39.000,394.08,383667,4,180,480
189,TKT-0AC80C08,2025-12-31 17:00:17.000,555.47,382422,4,180,480
190,TKT-BA04BD62,2025-10-08 05:57:50.000,70.74,383384,4,180,480
191,TKT-86272CD3,2026-04-25 04:14:49.000,567.24,383012,4,180,480
192,TKT-C10D2938,2026-04-04 16:09:57.000,538.68,383648,4,180,480
193,TKT-9D2D1CAF,2025-09-11 15:33:33.000,415.88,383381,4,180,480
194,TKT-8748EE8B,2025-11-20 08:12:13.000,573.98,603747,5,267,748
195,TKT-6D1B7FDE,2025-11-01 20:54:45.000,301.75,603646,5,267,745
196,TKT-A0C1A7EC,2026-02-16 09:00:33.000,281.64,603597,5,267,746
197,TKT-97F22EF4,2025-12-02 07:04:03.000,177.67,604334,5,267,746
198,TKT-64436E38,2026-03-12 18:16:00.000,646.03,604497,5,267,745
199,TKT-95268D76,2026-05-07 14:11:59.000,350.05,602546,5,267,745
200,TKT-05A1A665,2025-12-03 15:37:52.000,171.85,605106,5,267,745
201,TKT-8AA00C55,2026-02-16 00:40:49.000,243.29,604608,5,267,747
202,TKT-B1CFE999,2026-02-16 12:12:56.000,437.99,,5,267,745
203,TKT-DA6F43CF,2026-04-07 01:07:01.000,35.26,604785,5,267,748
204,TKT-05905575,2025-11-04 22:19:13.000,299.33,,5,267,747
205,TKT-C1DEA60A,2025-10-15 11:32:57.000,551.36,603688,5,267,748
206,TKT-FAEC11EC,2025-12-13 13:44:32.000,43.24,603057,5,267,747
207,TKT-49AF40CD,2025-09-20 10:36:42.000,186.29,604540,5,267,748
208,TKT-AF15D71B,2026-01-08 13:54:43.000,538.08,603759,5,267,746
209,TKT-03AB3DC8,2026-03-17 21:34:31.000,336.35,604254,5,267,747
210,TKT-EC644CC7,2025-11-23 07:09:33.000,533.2,,5,267,746
211,TKT-AD6AD088,2025-09-05 17:08:56.000,107.1,603955,5,267,748
212,TKT-D5A51BBB,2026-03-11 02:59:28.000,598.08,,5,267,748
213,TKT-30269CA8,2025-08-27 12:48:22.000,64.55,603321,5,267,748
214,TKT-7A1326B0,2025-10-10 03:47:35.000,554.4,602989,5,267,747
215,TKT-8575D6D4,2025-07-13 14:06:26.000,19.05,602914,5,267,745
216,TKT-9EDC2EDD,2026-03-28 15:48:17.000,783.48,602388,5,267,748
217,TKT-C916409C,2025-08-27 18:48:10.000,268.1,603867,5,267,745
218,TKT-2817A472,2025-11-15 17:51:20.000,117.9,603502,5,267,748
219,TKT-FEDB1FE7,2025-12-04 17:45:14.000,77.7,602677,5,267,747
220,TKT-3082EE27,2025-11-05 21:54:32.000,777.81,603564,5,267,747
221,TKT-36CC61C6,2026-03-19 13:43:55.000,353.14,604915,5,267,745
222,TKT-C956FC89,2026-02-11 18:43:05.000,82.88,,5,267,747
223,TKT-6D0A4C68,2026-05-04 13:31:44.000,78.1,240039,3,112,307
224,TKT-60EE344B,2025-09-08 11:20:16.000,205.28,239901,3,112,307
225,TKT-2952A8F9,2026-02-26 10:34:09.000,218.32,240391,3,112,306
226,TKT-5BE603D9,2026-01-14 21:13:30.000,330.91,239978,3,112,307
227,TKT-7D71DFFA,2026-01-28 08:01:31.000,292.36,240339,3,112,307
228,TKT-0C9D6F16,2025-10-17 12:13:12.000,201.0,240361,3,112,306
229,TKT-743F4621,2025-10-15 04:11:38.000,132.9,239098,3,112,306
230,TKT-89E490A5,2025-10-08 09:39:00.000,68.8,240528,3,112,306
231,TKT-BC111D61,2025-08-13 00:34:44.000,126.76,239534,3,112,307
232,TKT-7D9965A0,2026-03-21 05:38:07.000,187.83,238456,3,112,307
233,TKT-27964788,2025-07-26 03:25:47.000,213.76,239104,3,112,306
234,TKT-2BE16902,2025-08-08 01:00:15.000,370.4,238213,3,112,306
235,TKT-2706D469,2025-10-21 10:37:43.000,281.81,238497,3,112,306
236,TKT-1775B5EB,2026-05-07 19:58:40.000,293.61,,3,112,307
237,TKT-1785A9E9,2025-09-22 16:31:42.000,533.4,240202,3,112,306
238,TKT-D504E99E,2025-08-16 06:14:55.000,425.25,240050,3,112,306
239,TKT-ECDB2E7C,2026-04-27 17:05:00.000,190.35,239077,3,112,307
240,TKT-771A937F,2025-07-30 19:08:39.000,160.22,240140,3,112,306
241,TKT-F9DDF784,2026-02-25 00:28:35.000,213.5,238909,3,112,306
242,TKT-89AA88D8,2025-09-05 11:37:46.000,40.78,,3,112,306
243,TKT-6FAEE4B0,2025-12-31 23:04:05.000,436.72,,3,112,307
244,TKT-8B8D47E9,2026-03-19 09:49:28.000,256.9,,3,112,307
245,TKT-62A066E5,2026-04-14 14:35:16.000,148.48,239372,3,112,307
246,TKT-2AF3241F,2025-10-12 18:33:55.000,363.41,238570,3,112,307
247,TKT-3E563C10,2026-01-24 11:14:42.000,101.9,238601,3,112,307
248,TKT-CAC96F6A,2025-08-23 00:07:37.000,295.48,,3,112,306
249,TKT-35E445D1,2026-03-16 22:15:33.000,52.3,,4,169,452
250,TKT-E1B3C26E,2026-01-28 12:52:10.000,373.92,356700,4,169,452
251,TKT-9B9D2EE9,2026-02-28 19:20:07.000,59.31,357203,4,169,451
252,TKT-075BA2A4,2026-01-16 03:57:27.000,110.2,,4,169,454
253,TKT-E46A8209,2025-12-23 07:51:23.000,345.9,354341,4,169,452
254,TKT-B44466E5,2026-03-03 20:50:42.000,493.61,357718,4,169,451
255,TKT-552356B0,2025-11-12 08:24:30.000,509.1,353804,4,169,453
256,TKT-834F74C4,2025-09-30 18:45:41.000,173.72,356493,4,169,450
257,TKT-027F68F1,2025-12-24 02:12:46.000,349.92,354619,4,169,450
258,TKT-5C4970BE,2026-05-04 01:05:36.000,332.12,356523,4,169,450
259,TKT-6EF4E365,2025-08-23 17:02:08.000,286.76,354854,4,169,453
260,TKT-E57E433C,2025-09-24 22:59:49.000,92.55,354094,4,169,453
261,TKT-844AB20D,2026-01-19 03:32:11.000,91.74,355936,4,169,451
262,TKT-EC78F965,2026-03-28 07:16:08.000,491.93,355372,4,169,452
263,TKT-BAE11B67,2026-04-22 11:40:43.000,719.97,355491,4,169,454
264,TKT-9F5FA0E6,2026-01-18 09:08:26.000,143.14,,4,169,453
265,TKT-AEE5C76F,2025-08-12 10:34:50.000,207.4,353732,4,169,452
266,TKT-448D53D7,2026-01-03 20:43:36.000,140.9,,4,169,451
267,TKT-2DD9C917,2025-08-31 08:10:07.000,565.33,357319,4,169,452
268,TKT-CAF6F38B,2026-03-18 07:17:00.000,399.43,354808,4,169,451
269,TKT-EC0D381F,2025-07-20 20:42:24.000,181.55,,4,169,451
270,TKT-058D35A0,2026-03-08 06:40:19.000,234.87,355851,4,169,451
271,TKT-7713FA69,2025-11-29 17:33:41.000,33.56,357522,4,169,453
272,TKT-0B145B24,2025-08-03 11:32:58.000,216.87,354827,4,169,454
273,TKT-AED780B7,2025-10-20 18:11:56.000,544.11,354976,4,169,450
274,TKT-79806EF7,2025-11-07 09:06:07.000,222.82,356413,4,169,450
275,TKT-DA5CBD1D,2025-07-20 01:44:46.000,303.9,,4,169,452
276,TKT-F7858E21,2026-02-05 09:34:34.000,484.15,,4,169,452
277,TKT-B721A774,2025-12-17 10:34:34.000,139.87,356733,4,169,451
278,TKT-A3BAEC76,2026-03-10 01:08:10.000,527.56,,4,169,452
279,TKT-DD0C0F52,2025-07-26 00:23:57.000,446.51,355121,4,169,454
280,TKT-EC7C416D,2025-12-15 16:17:32.000,282.03,353856,4,169,452
281,TKT-2916C743,2026-01-20 11:24:50.000,115.39,357213,4,169,452
282,TKT-8CE435CB,2025-09-02 18:40:20.000,216.08,,4,169,453
283,TKT-FEC75F3D,2026-01-05 05:25:49.000,152.71,357045,4,169,454
284,TKT-28D881A4,2025-08-28 00:05:18.000,151.68,,4,169,451
285,TKT-F1CD0B9D,2025-08-04 19:14:26.000,316.72,,4,169,451
286,TKT-05098DD9,2025-10-14 09:51:04.000,263.73,353814,4,169,451
287,TKT-0025A828,2026-04-06 11:30:20.000,45.12,,4,169,452
288,TKT-03685E93,2025-10-20 13:10:06.000,73.77,354459,4,169,451
289,TKT-AA27F33B,2025-10-19 15:27:58.000,13.35,355064,4,169,452
290,TKT-518CAB2F,2025-09-16 14:00:55.000,540.05,666052,2,297,827
291,TKT-04ADACB9,2026-03-18 07:01:18.000,74.09,662981,2,297,826
292,TKT-D678185C,2025-12-27 22:11:48.000,134.22,662365,2,297,826
293,TKT-A81D969B,2026-01-06 13:13:45.000,575.83,659100,2,297,827
294,TKT-A00598E6,2026-02-12 17:47:18.000,452.63,661163,2,297,826
295,TKT-5FF82A85,2026-05-04 23:43:57.000,467.72,663026,2,297,827
296,TKT-F17789E8,2026-04-01 23:54:11.000,423.28,660043,2,297,828
297,TKT-1D7A0B97,2025-07-30 02:29:20.000,59.55,658372,2,297,826
298,TKT-8634087E,2026-01-14 00:49:59.000,175.78,660296,2,297,828
299,TKT-A1EF517F,2026-01-25 17:45:29.000,79.28,660729,2,297,827
300,TKT-96AADB4A,2025-12-27 01:23:11.000,15.8,659497,2,297,827
301,TKT-786379FC,2025-12-30 14:53:12.000,616.77,661359,2,297,827
302,TKT-C2FDA01D,2025-12-11 10:00:52.000,449.28,661660,2,297,827
303,TKT-906D0D25,2025-07-15 05:46:58.000,135.74,,2,297,827
304,TKT-2388485E,2026-04-27 14:40:18.000,426.13,664774,2,297,827
305,TKT-C9307D27,2026-04-08 19:22:57.000,222.17,659805,2,297,827
306,TKT-FE67B814,2025-10-30 04:35:33.000,93.5,,2,297,828
307,TKT-69A726B2,2026-01-08 05:11:37.000,346.7,,2,297,828
308,TKT-21FC9910,2025-09-10 11:15:14.000,481.16,661865,2,297,828
309,TKT-9103B052,2025-09-21 19:00:24.000,255.67,,2,297,828
310,TKT-0C1DDD57,2025-11-30 00:12:41.000,559.15,665083,2,297,827
311,TKT-17EFAF1A,2026-02-17 17:51:37.000,134.72,662739,2,297,827
312,TKT-06E939A7,2026-01-02 05:15:11.000,28.86,,2,297,827
313,TKT-4EEA1B62,2025-10-23 05:21:41.000,83.5,660594,2,297,826
314,TKT-65C0D588,2025-08-11 15:39:05.000,755.96,658892,2,297,826
315,TKT-27B00E15,2025-11-09 21:04:38.000,371.36,661753,2,297,827
316,TKT-13A3ADC0,2026-02-21 12:47:17.000,174.44,661624,2,297,827
317,TKT-F3BBD802,2025-10-16 00:04:26.000,127.41,,2,297,827
318,TKT-D4675B93,2026-02-05 01:03:27.000,249.33,,2,297,826
319,TKT-FD208E4E,2025-08-07 01:22:37.000,558.41,665335,2,297,826
320,TKT-96D8AFDA,2025-09-03 12:06:16.000,555.22,659658,2,297,828
321,TKT-7D02C764,2025-12-26 19:16:29.000,173.98,,2,297,828
322,TKT-665BBBEB,2025-10-06 18:07:49.000,434.69,,2,297,828
323,TKT-A86F138D,2025-11-11 22:02:37.000,198.62,663454,2,297,828
324,TKT-D20B97C8,2025-11-01 20:04:25.000,69.84,,2,297,828
325,TKT-55FC5DF2,2025-12-31 03:41:11.000,227.71,665757,2,297,827
326,TKT-66BFC5D4,2025-09-02 15:32:13.000,423.03,664903,2,297,827
327,TKT-C8648C8A,2025-10-02 19:29:33.000,88.92,,2,297,827
328,TKT-67CE4AFC,2025-08-09 15:01:38.000,513.65,663996,2,297,827
329,TKT-9D0F38E5,2025-10-08 06:55:40.000,328.75,,2,297,828
330,TKT-3B815ADA,2025-11-03 22:15:14.000,289.24,665344,2,297,827
331,TKT-32BF1867,2026-03-30 05:58:12.000,485.25,665740,2,297,827
332,TKT-935D48A9,2025-11-05 22:41:00.000,401.17,,3,116,314
333,TKT-5D43B3D3,2026-04-22 10:54:25.000,182.84,,3,116,314
334,TKT-0FA5311C,2025-07-16 04:17:49.000,570.14,245768,3,116,314
335,TKT-DF24AB02,2026-01-03 21:34:26.000,123.84,245790,3,116,314
336,TKT-929A7CB5,2025-10-16 10:20:30.000,124.56,245921,3,116,314
337,TKT-6EF19452,2026-04-14 12:08:07.000,751.52,,3,116,314
338,TKT-438C9A14,2025-09-10 08:34:24.000,607.14,,3,116,314
339,TKT-2F68D13B,2026-04-12 01:38:05.000,222.04,,3,116,314
340,TKT-AEB5E59A,2025-09-10 11:52:03.000,471.41,,3,116,314
341,TKT-D2A25238,2026-04-11 18:11:23.000,569.58,246301,3,116,314
342,TKT-43CA7BE8,2026-02-10 14:43:44.000,416.65,245810,3,116,314
343,TKT-79879F30,2025-12-06 15:05:57.000,246.87,,3,116,314
344,TKT-20CD79B5,2025-08-18 19:09:08.000,578.24,,3,116,314
